Susan Arrington Madsen, Lord Needed a Prophet ( 1990)

Facts on the Presidents of the Church

Prophet Birthdate Birthplace

Joseph Smith December 23, 1805 Sharon, Vermont

Brigham Young June 1, 1801 Whitingham, Vermont

John Taylor November 1, 1808 Milnthorpe, England

Wilford Woodruff March 1, 1807 near Hartford, Connecticut

Lorenzo Snow April 3, 1814 Mantua, Ohio

Joseph F. Smith November 13, 1838 Far West, Missouri

Heber J. Grant November 22, 1856 Salt Lake City, Utah

George Albert Smith April 4, 1870 Salt Lake City, Utah

David O. McKay September 8, 1873 Huntsville, Utah

Joseph Fielding Smith July 19, 1876 Salt Lake City, Utah

Harold B. Lee March 28, 1899 Clifton, Idaho

Spencer W. Kimball March 28, 1895 Salt Lake City, Utah

Ezra Taft Benson August 4, 1899 Whitney, Idaho

Age He BecameProphet Years Served Deathdate Place He Died

J. Smith 24 14 June 27, 1844 Carthage, Illinois

Young 46 30 Aug. 29, 1877 Salt Lake City, Utah

Taylor 71 7 July 25, 1887 Kaysville, Utah

Woodruff 82 9 Sept. 2, 1898 San Francisco, California

Snow 84 3 Oct. 10, 1901 Salt Lake City, Utah

J. F. Smith 62 18 Nov. 19, 1918 Salt Lake City, Utah

Grant 62 26 May 14, 1945 Salt Lake City, Utah

G. A. Smith 75 6 April 4, 1951 Salt Lake City, Utah

McKay 77 19 Jan. 18, 1970 Salt Lake City, Utah

J. Fielding Smith 93 2 July 2, 1972 Salt Lake City, Utah

Lee 73 1 Dec. 26, 1973 Salt Lake City, Utah

Kimball 78 12 Nov. 5, 1985 Salt Lake City, Utah

Benson 86 8 May 30 1994 Salt Lake City, Utah
