Lyndon W. Cook, Donald Q. Cannon, Far West Record: Minutes of the Church of Jesus Christ of Latter-day Saints, 1830-1844 ( 1983)

Date Index

June 9, 1-2

September 26, 3-4

January 2, 5

April 9, 5

June 3, 6-8

June 6, 9

August 4, 9-10

August 24, 13-14

August 28, 10

September 1, 11

September 6, 11-12

September 12, 12-13

September 29, 14-15

October 1, 13

October 10, 15-16

October 11, 16-17

October 21 (at Hiram), 18

October 21 (at Newel Knight's house), 42-43

October 25, 19-24

October 25 (second session), 24-25

October 26, 25-26

November 1, 26-28

November 2, 28

November 8, 28-29

November 9, 30

November 11, 30-31

November 12-13, 31-33

November 29, 33-34

November 30, 35

December 1, 35-36

December 6, 36-37

December 7, 37-38

January 23, 39-40

January 23 (letter), 231-33

January 24 (letter), 233-35

January 27 (letter), 235-38

March 10, 40-42

April 26, 43-44

April 26 (second session), 45

April 27, 45

April 30, 46-47

April 30 (or May 1), 47-48

May 26, 48-49

May 29, 49-50

July 3, 50-51

July 13, 52

August 24, 53

September 15, 53-54

September 27, 54-55

October 2, 55-56

October 5, 56-57

October 25, 55

December 3, 57-58

December 15, 58-59

February 26, 60-61

March 26, 61-62

August 21, 62-64

August 28, 64

September 11, 65-66

September 26, 66-67

June 23, 68-70

July 3, 70-71

July 7, 71-74

July 12, 74-77

July 31, 77-85

August 1, 85-88

August 6, 88-93

August 7, 93-95

August 21, 95-97

September 10, 97-99

November 5, 99-100

No minutes

January 6, 101-2

July 25, 104-6

November 15, 102

April 3, 107-9

April 5-6, 109-10

April 7, 103-4

April 7 (second session), 110

April 24, 111-12

Date unknown (sometime in May), 106-7

May 22, 112-13

May 28, 113-14

June 11, 114-15

July 29, 115-16

August 1, 116-17

August 5, 117-18

August 20, 119

November 6, 119-20

November 7, 121-25

November 10, 125-26

December 6, 126-28

December 7, 129-33

December 23, 133-34

January 20, 135

January 26, 135-37

February 5-9, 137-41

February 10, 141

February 24, 141-44

March 3, 144-45

March 10, 145-50

March 15, 151-52

March 17, 152-53

March 24, 153-57

April 6, 157-59

April 7, 159-61

April 8, 161-62

April 12, 162-71

April 13, 171-79

April 14, 179-81

April 21, 181-82

April 28, 183-86

April 28 (letter), 206-8

May 13, 186-88

May 24, 188

June 23, 189-90

June 28, 190-94

June 29, 194-96

July 6, 196-97

July 6 (quarterly conference), 198-201

July 7, 201

July 26, 202-3

August 31, 203-6

October 5, 208-9

October 6, 209-11

December 10, 211-21

December 13, 221-23

December 19, 223-24

December 26, 224-25

January 2, 226

January 16, 226

1840-43

No minutes

June 1, 227-29

June 15, 229-30
