Fifty-two new temple presidents recently began three-year terms of service with their wives. Most of the couples began their service on November 1, 2004.

  Temple                             President and Matron
  ---------------------------------- ------------------------------------------
  Aba Nigeria                        Jerry V. and Joanne O. Kirk
  Anchorage Alaska                   Gary E. and Joyce S. Cox
  Atlanta Georgia                    Jim David and K. Caroline Echard
  Birmingham Alabama                 John Reid and DeAnn H. Giles
  Caracas Venezuela                  David Craig and Diane T. Hoopes
  Chicago Illinois                   Glenn Allan and Betty J. Hansen
  Ciudad Juárez Mexico               Ashton Harvey and Naomi H. Taylor
  Cochabamba Bolivia                 David Evans and Sylvia L. Heywood
  Colonia Juárez Chihuahua Mexico    John Brentnell and Ellen L. Robinson
  Columbia River Washington          Earl J. and Rayola Wheelwright
  Columbus Ohio                      Don Lee and Darlene T. Tobler
  Copenhagen Denmark                 Dee Valentine and Kay P. Jacobs
  Dallas Texas                       Philip Hichborn and Peggy J. Besselievre
  Denver Colorado                    Grant Elggren and Edith R. Marsh
  Detroit Michigan                   David Ray and Bonnie L. Shurtz
  Edmonton Alberta                   Robert Steven and Belva E. Patterson
  Frankfurt Germany                  Richard Woolley and Kathleen M. Fetzer
  Fresno California                  Charles Allen and Anne Kropf
  Guadalajara Mexico                 Robert Savage and Kathleen Gabbitas
  Halifax Nova Scotia                Byron Ronald and Zelma Christensen
  Hamilton New Zealand               James Anthony and Tepua Morley
  Hong Kong China                    Kwok Yuen and Hui Hua (Flora) Tai
  Johannesburg South Africa          Louis and Rina Groenewald
  Laie Hawaii                        Wayne Octave and Bernice O. Ursenbach
  Lima Peru                          Royden John and Rebecca B. Glade
  London England                     Rowland Edward and Barbara J. Elvidge
  Los Angeles California             Richard Morris and Darlene A. Andrus
  Louisville Kentucky                James Wayne and Karen L. Hansen
  Lubbock Texas                      Thomas Scott and Marian Hendricks
  Manhattan New York                 John Roger and Helen B. Stone
  Medford Oregon                     Gene “B” and Carol L. Welling
  Melbourne Australia                Graeme Edward and Marie L. Cray
  Memphis Tennessee                  John Richard and Carol K. Thorderson
  Mérida Mexico                      Carl Lavon and Jean S. Call
  Monterrey Mexico                   Jesús and Adelfa A. Santos
  Nashville Tennessee                Billy Joe and Marianne Eaves
  Nauvoo Illinois                    David Bitner and Anne Wirthlin
  Orlando Florida                    Blaine W. and Jeanette Johnson
  Perth Australia                    John Anthony and Vicki T. Grinceri
  Portland Oregon                    Nicholas Peery and Susan R. Collins
  Provo Utah                         Carl William and Carolyn S. Bacon
  Raleigh North Carolina             Grady Lynn and Genevieve B. Barnes
  Reno Nevada                        Oris Lorenzo and Alice A. Corbridge
  Santiago Chile                     Julio Humberto and Maria Jaramillo
  Santo Domingo Dominican Republic   Edward Harry and JoAnn A. Petersen
  Seattle Washington                 Denzel Nolan and Beverly M. Wiser
  Spokane Washington                 Farrell Newren and Joyce L. Binns
  St. George Utah                    Harold Harrison and Mona E. Hiskey
  St. Paul Minnesota                 Thomas Albert and Bonnie A. Holt
  Tampico Mexico                     Ricardo and Maria Torres
  Tuxtla Gutiérrez Mexico            Wilbur Thayne and Carel R. Wagner
  Winter Quarters Nebraska           Robert B. and Rene Harbertson
