The majority of the more than 100 new mission presidents and their wives began their three-year service this month in missions around the world.

  Mission                                   New President
  ----------------------------------------- --------------------------
  Alabama Birmingham                        Richard N. Holzapfel
  Argentina Buenos Aires North              Richard M. Gulbrandsen
  Argentina Buenos Aires South              Michael J. Stapley
  Argentina Córdoba                         Alfredo L. Salas
  Arizona Mesa                              R. Spence Ellsworth
  Arizona Tempe                             Dean L. Howes
  Armenia Yerevan                           Reese A. Carter
  Australia Brisbane                        Fritjof F. Langeland
  Australia Melbourne                       Dennis R. Lifferth
  Australia Perth                           Paul L. Cahoon
  Brazil Campinas                           R. Marshall Tanner
  Brazil Curitiba                           Derek L. Cordon
  Brazil Goiânia                            Ramon C. Prieto
  Brazil João Pessoa                        Gordon J. Hall
  Brazil Londrina                           Eduardo L. M. Tavares
  Brazil Ribeirão Preto                     Gilson R. Prieto
  Brazil Santa Maria                        Isaias D. Ribeiro
  Bolivia La Paz                            Hector K. Quintanilla
  Bolivia Santa Cruz                        Fernando E. Calderon
  California Carlsbad                       Bruce M. Cook
  California Long Beach                     Ted F. Bubert II
  California Los Angeles                    Stephen R. Baker
  California San Bernardino                 William E. Jardine
  Canada Edmonton                           Chris W. Campbell
  Canada Montréal                           Nelson C. Cannon
  Canada Toronto West                       Bradford J. Brower
  Chile Antofagasta                         Leland E. Bruce
  Chile Concepción                          Neall W. Humphrey
  Chile Rancagua                            James D. MacArthur
  Chile Santiago West                       Richard W. King
  Colorado Denver South                     Alan R. Maynes
  Colombia Barranquilla                     Carlos A. Gaviria
  Czech Prague                              David R. Irwin
  Democratic Republic of Congo Lubumbashi   Gary L. Packer
  Denmark Copenhagen                        Jens H. Andersen
  Ecuador Guayaquil South                   Javier Montalti
  England Leeds                             Jerel D. Lindley
  Florida Jacksonville                      James W. Barry
  Florida Orlando                           Garth V. Hall
  Florida Tallahassee                       Dale Jensen
  Florida Tampa                             Bruce P. Summerhays
  Guatemala Retalhuleu                      José E. Maravilla
  Hawaii Honolulu                           John C. Dalton IV
  Honduras San Pedro Sula                   Ronald L. Veirs
  Idaho Boise                               Kent H. Cannon
  India Bangalore                           Randy D. Funk
  Indiana Indianapolis                      Kent H. Collins
  Indonesia Jakarta                         George H. Groberg
  Iowa Des Moines                           Dirk O. Jergensen
  Italy Milan                               David R. Wolfgramm
  Italy Rome                                Thomas Kelly
  Japan Nagoya                              Scott O. Baird
  Kenya Nairobi                             Steven H. Broadbent
  Korea Daejeon                             Mark C. Furniss
  Mexico Chihuahua                          Gerardo Angulo
  Mexico Culiacán                           Rolando Cantu
  Mexico León                               Karim Del Valle
  Mexico Mérida                             Netzahualcoyotl Salinas
  Mexico Mexico City East                   Robert H. Hicken
  Mexico Mexico City Northwest              Tom R. Tervort
  Mexico Mexico City West                   Carlos Villarreal
  Mexico Monterrey East                     Alan R. Walker
  Mexico Villahermosa                       Nicolas Castañeda
  Michigan Detroit                          Douglas D. Holmes
  Missouri St. Louis                        Stephen D. Clark
  Mongolia Ulaanbaatar                      Kris J. Mecham
  Nevada Las Vegas West                     Jerry B. Black
  New Hampshire Manchester                  David L. Wilkey
  New Mexico Albuquerque                    Wayne K. Miller
  New Mexico Farmington                     Spencer V. Jones
  New York Rochester                        Jack R. Christianson
  Nicaragua Managua North                   Carlos F. Arredondo
  Nicaragua Managua South                   Javier F. Monestel
  Nigeria Enugu                             John K. Buah
  Oklahoma Oklahoma City                    Nolan S. Taylor
  Panamá Panamá City                        Craig L. Ward
  Paraguay Asunción North                   Horacio D. Madariaga
  Pennsylvania Philadelphia                 William A. Schaefermeyer
  Peru Arequipa                             Arturo Fernández
  Peru Cusco                                Wilson B. Calderon
  Peru Lima North                           Lawrence P. Blunck
  Peru Lima West                            J. Scott Dorius
  Peru Trujillo                             Terry D. Turk
  Philippines Butuan                        Mernard P. Donato
  Philippines Cagayan de Oro                William A. Hernaez
  Philippines Cauayan                       Rodolfo A. Carlos
  Philippines Iloilo                        Ryan V. Pagaduan
  Philippines Naga                          Ronald D. Bliesner
  Philippines Quezon City                   David W. DeLaMare
  Poland Warsaw                             Stanford W. Nielson
  Puerto Rico San Juan                      Jorge M. Alvarado
  Russia Moscow                             Stephen J. Sorenson
  Russia Samara                             Ralph J. Sartori
  Sierra Leone Freetown                     Richard Roggia
  South Africa Durban                       James C. Von Stetten
  Spain Málaga                              Richard R. Clegg
  Taiwan Taichung                           Clark T. Bishop
  Texas Fort Worth                          Joseph M. Sagers
  Texas McAllen                             Stephen J. Trayner
  Texas San Antonio                         Stephen E. Jones
  Tonga Nuku‘alofa                          ‘Aisake K. Tukuafu
  Uganda Kampala                            Eric C. Jackson
  Uruguay Montevideo West                   Ronald W. Heaton
  Utah Salt Lake City                       Bruce R. Winn
  Utah Salt Lake City South                 Bruce E. Miller
  Utah St. George                           Keith G. Leonard
  Venezuela Valencia                        Jorge G. Montoya
  Virginia Richmond                         James C. Perry
  Washington DC North                       James R. Matsumori
  Washington Everett                        D. Keith Wilson
  Washington Kennewick                      Leonard D. Greer
  Washington Seattle                        Todd S. Larkin
  Wisconsin Milwaukee                       Timothy M. Jones
