# Appendix

Latter-day Saint Women Speakers in General Conference

This table contains the names of all the women who have spoken in the semiannual general conference of the Church of Jesus Christ of Latter-day Saints, or in special meetings that occurred in conjunction with general conference. For example, Aaronic Priesthood meetings, also called bishop’s conferences, were held from 1921 through 1963 and attended by male ward and stake leaders who oversaw the daily workings of their congregations, including the Aaronic Priesthood and Young Women. Welfare sessions, sometimes called agricultural meetings, began in 1937 and trained male and female stake and ward welfare workers on resources and procedures. Welfare sessions were discontinued in 1982. Other special sessions or meetings discussed missionary work, the Indian Placement Program, and genealogical work. On occasion, women spoke at these meetings.

The table does not include women’s speeches from Relief Society general conferences or women’s meetings, MIA June conferences, Young Women meetings and firesides, Primary conferences, or Sunday School conferences. Women spoke regularly at these auxiliary conferences and meetings, and their words were recorded in the Woman’s Exponent, Relief Society Magazine, Young Woman’s Journal, Improvement Era, Children’s Friend, Ensign, New Era, Liahona, Deseret News, and elsewhere. Auxiliary conferences ended in 1975, replaced by various iterations of a general women’s meeting and by training conducted on a regional and stake level. Beginning in the fall of 2014, the general women’s meeting was recognized as a session of general conference; it is included on this table from that date.

Sources for information in this table include official Conference Reports, the Deseret News, and audiovisual collections of welfare sessions at the Church History Library in Salt Lake City.

  Date             Speaker                    Session
  ---------------- -------------------------- ----------------------------
  Oct. 8, 1845     Lucy Mack Smith            general session
  Oct. 7, 1879     Zina D. H. Young           priesthood and MIA meeting
  Apr. 5, 1908     Rachel H. Leatham          outdoor overflow meeting
  Apr. 5, 1908     Martha Mary Langenbucher   outdoor overflow meeting
  Apr. 4, 1909     Lillian V. Jones           outdoor overflow meeting
  Oct. 5, 1929     Louise Y. Robison          general session
  Oct. 5, 1929     Ruth May Fox               general session
  Oct. 5, 1929     May Anderson               general session
  Apr. 9, 1930     Louise Y. Robison          general session
  Apr. 9, 1930     Ruth May Fox               general session
  Apr. 9, 1930     May Anderson               general session
  Oct. 5, 1930     Louise Y. Robison          general session
  Oct. 5, 1930     Ruth May Fox               general session
  Oct. 5, 1930     May Anderson               general session
  Oct. 2, 1937     May Anderson               Aaronic Priesthood meeting
  Oct. 5, 1940     Amy Brown Lyman            welfare meeting
  Apr. 5, 1941     Marguerite Burton          welfare meeting
  Apr. 5, 1941     Zephyr Doyle               welfare meeting
  Apr. 5, 1941     Donna D. Sorensen          welfare meeting
  Oct. 4, 1941     Alice M. Graves            welfare meeting
  Oct. 4, 1941     Amy Brown Lyman            welfare meeting
  Oct. 5, 1945     Verna W. Goddard           Aaronic Priesthood meeting
  Apr. 4, 1947     Belle S. Spafford          Aaronic Priesthood meeting
  Apr. 6, 1948     Mildred Thompson           Aaronic Priesthood meeting
  Apr. 5, 1949     Belle S. Spafford          welfare meeting
  Apr. 3, 1959     Theda Farnsworth           missionary meeting
  Apr. 7, 1967     Belle S. Spafford          welfare session
  Sept. 30, 1967   Carolyn Dunn               welfare session
  Sept. 30, 1967   Belle S. Spafford          welfare session
  Apr. 6, 1968     Belle S. Spafford          welfare session
  Oct. 4, 1968     Virginia Casuse            Indian Placement meeting
  Oct. 5, 1968     Belle S. Spafford          welfare session
  Apr. 5, 1969     Belle S. Spafford          welfare session
  Oct. 4, 1969     Belle S. Spafford          welfare session
  Apr. 4, 1970     Belle S. Spafford          welfare session
  Oct. 3, 1970     Belle S. Spafford          welfare session
  Apr. 3, 1971     Belle S. Spafford          welfare session
  Oct. 2, 1971     Belle S. Spafford          welfare session
  Apr. 8, 1972     Belle S. Spafford          welfare session
  Oct. 7, 1972     Belle S. Spafford          welfare session
  Apr. 7, 1973     Belle S. Spafford          welfare session
