+----------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------+------------------------------------+
| Book/ Chapters       | Reign of the Judges                |                                                                                                                                                                                                                                      | Major Teachings about Jesus Christ                                                                                 | Books of the Bible                 |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
| Author/ Engraver     | Date (Some dates are approximate.) |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
+======================+====================================+======================================================================================================================================================================================================================================+====================================================================================================================+====================================+
| Mosiah 28–29         | B.C. 92                            | Nephites                                                                                                                                                                                                                             |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
| Mormon               |                                    | • King Mosiah gave his sons and others permission to preach the gospel among the Lamanites. They left on a mission lasting approximately 14 years (see Mosiah 28:1–9).                                                               |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • The people began to measure their years according to the reign of the judges. Alma and King Mosiah died (see Mosiah 29:44–47; Alma 1:1).                                                                                           |                                                                                                                    |                                    |
+----------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------+------------------------------------+
| Alma 1–44            | 91                                 | Lamanites                                                                                                                                                                                                                            |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
| Mormon               |                                    | • The sons of Mosiah separated in the land of the Lamanites. Ammon went to the land of Ishmael, and Aaron went to the city of Jerusalem (see Alma 17:6–19; Alma 21:1–2).                                                             |                                                                                                                    |                                    |
+----------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------+------------------------------------+
|                      | 2                                  | Nephites                                                                                                                                                                                                                             |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      | 90                                 | • Nehor, a false priest who endorsed priestcraft, was executed for his crimes. The Church prospered despite internal contention and persecution from unbelievers (see Alma 1).                                                       |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | Lamanites                                                                                                                                                                                                                            |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Ammon became a servant to King Lamoni. The king was miraculously converted, many of his people were baptized, and the Church was established (see Alma 17:20–19:36; Alma 21:18–23).                                                |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Aaron and his brethren preached without success and were cast into prison (see Alma 21:1–14).                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Ammon and King Lamoni met Lamoni’s father, king over all the Lamanites. Aaron and his brethren were rescued from prison (see Alma 20; Alma 21:14–17).                                                                              |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Aaron taught the gospel to Lamoni’s father, who was miraculously converted and proclaimed religious liberty (see Alma 22–23:3).                                                                                                    |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Some Lamanites went to battle against the Anti-Nephi-Lehies (see Alma 24:20).                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | Anti-Nephi-Lehies                                                                                                                                                                                                                    |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • The converted Lamanites called themselves Anti-Nephi-Lehies and became friendly with the Nephites (see Alma 23).                                                                                                                   |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • The Anti-Nephi-Lehies buried their swords, covenanting never again to destroy human life (see Alma 24:1–19).                                                                                                                       |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • One thousand and five Anti-Nephi-Lehies were killed without resisting. Impressed by this valiancy, more Lamanites were converted, and the war ended (see Alma 24:21–30; Alma 25:1).                                                |                                                                                                                    |                                    |
+----------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------+------------------------------------+
|                      | 5                                  | Nephites                                                                                                                                                                                                                             |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      | 87                                 | • Amlici’s petition to be king was rejected by the voice of the people. A civil war erupted, and Amlici and his supporters were defeated (see Alma 2:1–19).                                                                          |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • Strengthened by the Lord, the Nephites defeated the Lamanites in two great battles (see Alma 2:27–3:27).                                                                                                                           |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | Lamanites                                                                                                                                                                                                                            |                                                                                                                    |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      |                                    | • The Lamanites, joined by the Amlicites, went to war against the Nephites (see Alma 2:20–26).                                                                                                                                       |                                                                                                                    |                                    |
+----------------------+------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------+------------------------------------+
|                      | 7                                  | Nephites                                                                                                                                                                                                                             | Alma the Younger asked the people if they had been spiritually born of God (see Alma 5).                           |                                    |
|                      |                                    |                                                                                                                                                                                                                                      |                                                                                                                    |                                    |
|                      | 85                                 | • The Nephites prospered and began to be proud. Alma the Younger resigned as chief judge to preach the word of God (see Alma 4:6–20).                                                                                                |                                                                                                                    |                                    |
