Accepting assignments from the First Presidency, 117 new mission presidents began serving on or around July 1, 2007. The missions and their respective new presidents are:

  Mission                                 President
  --------------------------------------- -----------------------------
  Alabama Birmingham                      James R. Tate
  Argentina Buenos Aires North            Shane V. Argyle
  Argentina Buenos Aires South            Ronald W. Asay
  Argentina Cordoba                       Stephen L Olsen
  Arizona Mesa                            W. Mark Bassett
  Arizona Tempe                           Robert C. Craig
  Armenia Yerevan                         Ronald J. Dunn
  Australia Brisbane                      Grant S. Richards
  Australia Melbourne East                Corey B. Lindley
  Australia Melbourne West                Barry Lee
  Australia Perth                         Carl R. Maurer
  Australia Sydney North                  H. E. Scruggs Jr.
  Bolivia La Paz                          Ismael Mendoza Regino
  Bolivia Santa Cruz                      Kevin D. McCracken
  Brazil Campinas                         Ildefonso de Castro Deus
  Brazil Curitiba                         Paulo M. Araujo
  Brazil Goiânia                          Vaguiner C. Tobias
  Brazil João Pessoa                      David G. Fernandes
  Brazil Londrina                         Luiz M. Leal
  Brazil Santa Maria                      Rodrigo Myrrha
  California Carlsbad                     Richard B. Brady
  California Long Beach                   Edwin A. Sexton
  California Los Angeles                  Spencer (Tim) G. Blackburn
  California San Bernardino               David T. Sanchez
  Canada Edmonton                         George F. Rhodes Jr.
  Canada Montreal                         Joel H. McKinnon
  Canada Toronto West                     Jeffrey T. Simmons
  Chile Antofagasta                       Juan A. Urra Gomez
  Chile Concepción                        Oscar W. Chavez Lopez
  Chile Rancagua                          Esteban G. Resek
  Chile Santiago West                     Paul A. Jones
  Colombia Barranquilla                   Robin O. Roundy
  Colorado Denver South                   Earl L. Christison III
  Czech Prague                            Marvin J. Slovacek Jr.
  Democratic Republic of Congo Kinshasa   Donald H. Livingstone
  Denmark Copenhagen                      Douglas J. Olauson Sr.
  Ecuador Guayaquil South                 William S. Johns
  England Leeds                           Wallace L. Stock
  Florida Jacksonville                    Russell A. Newman Jr.
  Florida Orlando                         John C. Darrington
  Florida Tallahassee                     Lynn L. Summerhays
  Florida Tampa                           Kent W. Colton
  Germany Hamburg                         Wesley B. Thompson
  Hawaii Honolulu                         Stephen N. Peterson
  Honduras San Pedro Sula                 Samuel Cruz Velasquez
  Idaho Boise                             John W. Yardley
  Illinois Chicago South                  Richard B. Roach
  Illinois Peoria                         Lynn G Erickson
  India Bangalore                         Melvin R. Nichols
  Indiana Indianapolis                    David L. Corey
  Indonesia Jakarta                       Ross Hawkins Marchant
  Iowa Des Moines                         G. Lyle Talbot
  Ireland Dublin                          Gordon W. Creer
  Italy Catania                           James A. Toronto
  Italy Milan                             J. Scott Dunaway
  Italy Rome                              Jeffrey Acerson
  Japan Nagoya                            Bruce F. Traveller
  Kenya Nairobi                           William H. Taylor
  Korea Daejeon                           Alan G. Perriton
  Korea Seoul West                        Craig P. Burton
  Mexico Chihuahua                        Edgar Flores Prieto
  Mexico Culiacán                         Marion R. Johnstun
  Mexico Guadalajara                      Robert J. Watkins
  Mexico León                             Robert T. Cox
  Mexico Mérida                           Victor M. Cardenas Lopez
  Mexico Mexico City East                 Russell G. Bulloch
  Mexico Mexico City West                 J. Francisco Fuentes Corpus
  Mexico Monterrey East                   Daniel Mendoza Regino
  Michigan Detroit                        Michael L. Rawson
  Missouri St. Louis                      Milton S. Turley
  Mongolia Ulaanbaatar                    D. Allen Andersen
  New Hampshire Manchester                Michael R. Jensen
  New Jersey Cherry Hill                  Bruce H Winegar
  New Mexico Albuquerque                  Richard J. Anderson
  New York Rochester                      Michael F. Hemingway
  Nicaragua Managua                       Romel E. Fraatz
  Nigeria Port Harcourt                   Loveday I. Nwankpa
  Nigeria Uyo                             Joseph W. Sitati
  Ohio Cincinnati                         Gregory V. Robbins
  Oklahoma Oklahoma City                  James R. Gee
  Panama Panama City                      Manuel Madrigal Romero
  Paraguay Asuncion North                 Terry L. Wade
  Pennsylvania Philadelphia               Michael R. Murray
  Perú Arequipa                           David J. Davis
  Perú Lima North                         Carlos A. Perez Basso
  Perú Trujillo                           Alejandro Mora Arauco
  Philippines Cagayan de Oro              Remegio E. Meim Jr.
  Philippines Cauayan                     Raul S. Villanueva
  Philippines Naga                        Mark A. Ferrin
  Philippines Quezon City                 Beaver T. Ho Ching
  Poland Warsaw                           Torben Engbjerg
  Puerto Rico San Juan East               Ralph L. Dewsnup
  Puerto Rico San Juan West               J. Stanley Martineau
  Russia Moscow                           Charles D. Cranney
  Russia Novosibirsk                      Hal E. Mickelsen
  Russia Samara                           Randall K. Bennett
  Russia Vladivostok                      Stanley E. Everett
  Russia Yekaterinburg                    Stephen J. Allen
  Sierra Leone Freetown                   Phillip L. Squires
  South Africa Durban                     Steven H. Mann
  Spain Málaga                            Robert L. Mellor
  Switzerland Zürich                      Dietmar G. Matern
  Taiwan Taichung                         Michael A. Hoer
  Texas Fort Worth                        Wright Jenkins Thurston
  Texas McAllen                           Gary F. Miller
  Texas San Antonio                       Charles L. Cutler
  Tonga Nuku‘alofa                        Lynn C. McMurray
  Ukraine Dnepropetrovsk                  Leonard M. Abraham
  Uruguay Montevideo West                 Steven K. Peterson
  Utah Salt Lake City                     W. Blake Sonne
  Utah Salt Lake City South               G. Steven Laney
  Virginia Richmond                       Mark B. Millburn
  Washington D.C. North                   L. Alma Mansell
  Washington Everett                      Donald L. Showalter III
  Washington Kennewick                    Paul M. Belnap
  Washington Seattle                      Craig M. Moffat
  Wisconsin Milwaukee                     William A. Barrett
