Accepting assignments from the First Presidency, 124 new mission presidents began serving on or around July 1, 2008. The missions and their respective new presidents are:

  Mission                                 New President
  --------------------------------------- -----------------------------------
  Alaska Anchorage                        Alan Roy Dance
  Albania Tirana                          John Martin Neil
  Argentina Buenos Aires West             Evrett Wade Benton
  Argentina Mendoza                       James Blaine Lindahl
  Argentina Resistencia                   Jorge Luis del Castillo
  Argentina Rosario                       Jorge Marcial Villalba
  Argentina Salta                         Dan Northcutt
  Arizona Phoenix                         Paul Sherman Beck
  Arizona Tucson                          Wesley Paul Walker
  Arkansas Little Rock                    Robert Wyman Drewes
  Baltic                                  Douglas Leon Dance
  Bolivia Cochabamba                      Miguel Angel Tenorio Dominguez
  Brazil Brasilia                         Gelson Pizzirani
  Brazil Florianopolis                    Walter Guedes Queiroz Jr.
  Brazil Fortaleza                        Alan Charles Batt
  Brazil Maceió                           Gary Ray Beynon
  Brazil Manaus                           David Woodward Jayme
  Brazil Recife                           Mário Hélio Emerick
  Brazil Ribeirão Preto                   Ricardo Vieira
  Brazil Rio de Janeiro                   Antonio Kaulle Machado Bezerra
  Brazil Rio de Janeiro North             Scott Warren Pickett
  Brazil Salvador                         Carlos Roberto Toledo
  Brazil São Paulo Interlagos             Christopher George Jackson
  Brazil São Paulo North                  Jeffry Lynn Cooley
  Brazil São Paulo South                  Stephen Darrow Richardson
  California Anaheim                      Steven Bennett Watrous
  California Arcadia                      Oscar Arthur Pike
  California Fresno                       John Arthur Gonzalez
  California Riverside                    Melvyn Kemp Reeves
  California Roseville                    Mark James Pendelton
  California Sacramento                   James Stuart Jardine
  California San Diego                    Lee Leonard Donaldson
  California San Jose                     Eric Michael Jackson
  California Ventura                      Wayne Dale Murri
  Canada Toronto East                     Chris Allan Eyre
  Canada Vancouver                        Kent Kruger Nelson
  Cape Verde Praia                        Joselito Medina Costa Neves
  Chile Concepción South                  Joe Neil Swenson
  Chile Osorno                            Kenneth David Lovell
  Chile Santiago North                    Michael Edward May
  Colombia Cali                           Edgar Nain Bolivar Forero
  Colorado Colorado Springs               Brian Loyal Pfile
  Colorado Denver North                   Gary Gail Ely
  Connecticut Hartford                    Hugh Gary Pehrson
  Cote d’Ivoire Abidjan                   Yapo Ayekoue
  Dominican Republic Santo Domingo East   Guillermo Arturo Antivilo Rojas
  Dominican Republic Santo Domingo West   Juan Evangelista Almonte
  Ecuador Guayaquil North                 Jose Wilson Gamboa Galvez
  Ecuador Quito                           Timothy Quinn Sloan
  El Salvador San Salvador East           Alex Moroni Perez Ulin
  El Salvador San Salvador West/Belize    Alejandro Lopez Mota
  England Manchester                      David John Bullock
  Fiji Suva                               William Orval Ostler
  Finland Helsinki                        David Blaine Brown
  Florida Fort Lauderdale                 J. Nathan Hale
  France Paris                            Don Hansen Staheli
  France Toulouse                         Michel Joseph Jules Carter
  Georgia Atlanta North                   Steven Douglas King
  Georgia Macon                           Mark Oliver Bowman
  Germany Frankfurt                       Kevin John Ninow
  Germany Munich/Austria                  Robert Gideon Condie
  Ghana Accra                             Byron Lindsey Smith
  Ghana Cape Coast                        Melvin Burns Sabey
  Guatemala Guatemala City Central        Richard Allen Baldwin Jr.
  Guatemala Guatemala City North          David Jaime Torres Rodriguez
  Guatemala Guatemala City South          Herbert Edgardo Alvarado Renderos
  Guatemala Quetzaltenango                Ramón Darío Lorenzana Reyes
  Honduras Tegucigalpa                    Luis Gerardo Chaverri Madrigal
  Japan Hiroshima                         Yoshiaki Isa
  Japan Kobe                              William Arthur McIntyre Jr.
  Japan Sapporo                           Lee Alford Daniels
  Japan Sendai                            Reid Tateoka
  Kentucky Louisville                     Steven George Glende
  Korea Busan                             Kenneth Wayne Jennings Jr.
  Louisiana Baton Rouge                   William George Woods
  México México City North                Daryl Nancollas
  México Oaxaca                           Leobardo De La Cruz Rosales
  México Puebla                           Steven Glen Rex
  México Tijuana                          Robert Hernan Heyn
  México Torreón                          Bruce Richard Clark
  México Tuxtla Gutiérrez                 Guillermo Velasco Coronado
  México Veracruz                         Jay Peter Hansen
  Michigan Lansing                        Marc Ducloux Jones
  Minnesota Minneapolis                   Mark Douglas Howell
  Missouri Independence                   George Johan William Van Komen
  Nevada Las Vegas                        Peter Kevin Christensen
  New Jersey Morristown                   A. Lee Bahr
