By assignment from the First Presidency, 39 new temple presidents are now serving with their spouses. The presidents of the Panama City Panama, Rexburg Idaho, and Twin Falls Idaho Temples began serving earlier in 2008 after the temples were dedicated. The president of the Draper Utah Temple will begin serving after the temple is dedicated on March 20, 2009.

  Temple                     New President
  -------------------------- ----------------------
  Adelaide Australia         Philip F. Howes
  Apia Samoa                 John P. Hanks
  Asunción Paraguay          David K Udall
  Baton Rouge Louisiana      Max P. Brough
  Bern Switzerland           Raimondo Castellani
  Billings Montana           Ronald M. Morrison
  Bismarck North Dakota      John R. Reese
  Bogotá Colombia            Jorge J. Escobar
  Boise Idaho                Wenden W. Waite
  Columbia South Carolina    Brent H. Koyle
  Curitiba Brazil            Jason G. Sousa
  Draper Utah                Donald L. Staheli
  Freiberg Germany           Frank H. Apel
  Guayaquil Ecuador          Jorge A. Rojas
  Idaho Falls Idaho          Larry G. Stoddard
  Jordan River Utah          F. Wayne Chamberlain
  Kona Hawaii                Opurainonarii Mo‘o
  Logan Utah                 W. Rolfe Kerr
  Los Angeles California     Grant R Brimhall
  Louisville Kentucky        Dale R. Hettinger
  Lubbock Texas              E. Dale Cluff
  Madrid Spain               Garry K. Moore
  Mount Timpanogos Utah      L. Edward Brown
  Newport Beach California   D. Thomas Borgquist
  Oakland California         Richard A. Hunter
  Ogden Utah                 Robert R. Steuer
  Panama City Panama         Ronald D. Jamison
  Rexburg Idaho              Val R. Christensen
  Salt Lake                  Sheldon F. Child
  San Antonio Texas          Marion D. Woods
  San Diego California       Bruce L. Olsen
  Snowflake Arizona          Lewis Tenney
  Suva Fiji                  LaRon P. Woolley
  Sydney Australia           W. John Bailey
  The Hague Netherlands      Jacob J. Van Ry
  Toronto Ontario            Stephen M. Hadley
  Twin Falls Idaho           Donald R. Gerratt
  Vernal Utah                Mac W. Holmes
  Washington D.C.            Earl C. Tingey
