The majority of the following new mission presidents and their wives began serving on or around July 1, 2009, as assigned by the First Presidency. The missions and their respective new presidents are:

  Mission                                 New President
  --------------------------------------- ------------------------------------
  Argentina Bahía Blanca                  Jorge Esteban Detlefsen
  Argentina Neuquén                       Darwin Franz Peterson
  Australia Adelaide                      Craig Kidd Poulton
  Australia Sydney South                  Jeffrey Ted Simmons
  Belgium Brussels/Netherlands            Scott Mcdonald Brubaker
  Brazil Belém                            José Claudio Furtado Campos
  Brazil Belo Horizonte                   Adilson de Paula Parrella
  Brazil Cuiabá                           Cleto Pinheiro De Oliveira
  Brazil Porto Alegre North               Edison Pavan
  Brazil Porto Alegre South               Curtis Floyd Swenson
  Brazil Salvador South                   Helton Carlos Pimenta Vecchi
  Brazil São Paulo East                   Joaquim Jorge Oliveira Moreira
  Brazil Teresina                         Mario Aparecido Dias
  Bulgaria Sofia                          Gerold Roth
  California Oakland                      David Gary Wade
  California San Fernando                 Jerald Lynn Martin
  California Santa Rosa                   Jonathon Wayne Bunker
  Cambodia Phnom Penh                     Scott Brunson Smedley
  Canada Calgary                          Alan Lee Archibald
  Canada Halifax                          Craig Winger Simpson
  Chile Santiago East                     Larry Roberts Laycock
  Chile Viña del Mar                      Richard William Gillespie
  China Hong Kong                         Simon Yue-Sang Chan
  Colombia Bogota North                   Joseph Grant Hacking
  Colombia Bogota South                   Justo Pausides Casablanca
  Costa Rica San José                     Sam Minó Gálvez Orellana
  Democratic Republic of Congo Kinshasa   Michael Steven Headlee
  Dominican Republic Santiago             Miguel Alfredo Lee Bruno
  England Birmingham                      John Charles Ogden
  England London                          Renn Matthew Patch
  England London South                    Lyle Eric Shamo
  Georgia Atlanta                         Steven Homer Satterfield
  Germany Berlin                          Jay Douglas Pimentel
  Greece Athens                           Christopher Charles
  Haiti Port-au-Prince                    Hardwarson Kerving Joseph
  Honduras Comayagüela                    Manuel Antonio Flores Batres
  Hungary Budapest                        Gary Scott Baughman
  Idaho Pocatello                         Scott W Colton
  Illinois Chicago North                  Sherman Leroy Doll
  India New Delhi                         William King Jackson
  Jamaica Kingston                        Rick Graff
  Japan Fukuoka                           Sherman Kay Margetts
  Japan Tokyo                             William Steve Albrecht
  Korea Seoul                             Yong Hwan Lee
  Madagascar Antananarivo                 Sean Edmund Russell Donnelly
  Marshall Islands Majuro                 Bradley Jay Smith
  Maryland Baltimore                      Alma Brent Belliston
  Massachusetts Boston                    William Thornley Evans
  Mexico Cuernavaca                       Alin Spannaus
  Mexico Guadalajara                      Lazaro Saucedo Sosa
  Mexico Guadalajara South                John Douglas Jesperson
  Mexico Hermosillo                       Sergio Velez Chavez
  Mexico Mexico City South                Aaron Chavez Carpio
  Mexico Monterrey West                   Brent Wayne Romney
  Mexico Tampico                          Stanton Lynn Call
  Montana Billings                        Larry Higbee Gardner
  Mozambique Maputo                       Loren Blake Spendlove
  Nebraska Omaha                          Milan Foster Kunz
  New York New York North                 Richard Fred Smith
  New York New York South                 William Henrick Nelson
  North Carolina Raleigh                  To be announced
  Norway Oslo                             Armand Duane Johansen
  Ohio Cleveland                          Darwin Dean Sorensen
  Oklahoma Tulsa                          Richard Edgar Merkley
  Papua New Guinea Port Moresby           Meliula Meafou Fata
  Paraguay Asunción                       Mark James Callan
  Pennsylvania Harrisburg                 To be announced
  Peru Lima Central                       Stephen Hunter Tyler
  Peru Lima South                         Roger Christensen Manning
  Peru Piura                              John Jensen Chipman
  Philippines Bacolod                     George Javier Tobias
  Philippines Baguio                      Thomas Henry Jensen
  Philippines Laoag                       Allistair Bruce Odgers
  Portugal Lisbon                         Moroni Bing Torgan
  Portugal Porto                          Charles Wesley Walton
  Russia Moscow West                      Kenneth Musser Woolley
  Russia Novosibirsk                      Jon Charles Trejo
  Russia Rostov-na-Donu                   Vladimir Aleksandrovich Nechiporov
  Russia Vladivostok                      Michael Stephen Pratt
  Russia Yekaterinburg                    Bruce Howard Allcott
  Scotland Edinburgh                      Gary King Griffiths
  Singapore                               Terrence Andrew Clark
  South Dakota Rapid City                 Jay Glen Layton
  Spain Barcelona                         Clark Bryant Hinckley
  Spain Bilbao                            Richard Reed Clegg
  Spain Madrid                            James Stanford Watkins
  Switzerland Geneva                      Kent Hyrum Murdock
  Taiwan Taipei                           Terence Elial Grimley
  Texas Houston South                     Gregory Mark Saylin
  Thailand Bangkok                        Michael Sherrod Smith
  Ukraine Dnepropetrovsk                  Dale Edwin Nielsen
  Uruguay Montevideo                      Ernesto Antonio Da Silva Bornholdt
  Utah Ogden                              Richard Brent Olson
  Utah Provo                              Neil Edward Pitts
  Venezuela Barcelona                     Edgar Lopez Delgado
  Venezuela Maracaibo                     Sergio Luis Krasnoselsky
  Washington DC South                     George Mark Albright
  Washington Spokane                      Stanley Mark Palmer
  West Indies                             Claude Remy Gamiette
  Zimbabwe Harare                         Edward Dube
