The Church announced the names of 110 new mission presidents earlier this year. The majority will begin their two- or three-year-calling, accompanied by their wives, this month.

  Mission                                       New President
  --------------------------------------------- ----------------------------
  Argentina Bahia Blanca                        Manuel Parreno
  Argentina Neuquén                             Paul R. Lovell
  Australia Adelaide                            Bradley D. Carter
  Australia Perth                               R. Bruce Lindsay
  Australia Sydney                              Philip F. Howes
  Belgium/Netherlands                           Alden C. Robinson
  Brazil Belém                                  Jose C. Scisci
  Brazil Belo Horizonte                         Paschoal F. Fortunato
  Brazil Campinas                               Carlos E. Perrotti
  Brazil Cuiabá                                 Keith R. Reber
  Brazil Porto Alegre North                     D. Layne Wright
  Brazil Porto Alegre South                     Palmênio C. Castro
  Brazil Salvador South                         Marcelo Andrezzo
  Brazil São Paulo East                         Ronald A. Ferrin
  Brazil Teresina                               Alvacir L. Siedschlag
  Bulgaria Sofia                                Michael S. Wilstead
  California Oakland/San Francisco              David N. Weidman
  California San Fernando                       Kenneth T. Hall
  California Santa Rosa                         Rene R. Alba
  Cambodia Phnom Penh                           David C. Moon
  Canada Calgary                                Howard Nicholas
  Canada Halifax                                Brian Leavitt
  Canada Winnipeg                               Kirk M. Thomas
  Chile Santiago East                           David L. Wright
  Chile Viña del Mar                            Frederico M. Kähnlein
  China Hong Kong                               Val D. Hawks
  Colombia Bogotá North                         Mark F. Andelin
  Colombia Bogotá South                         Letvin Lozano
  Colombia Medellín                             Roberto O. Pitarch
  Costa Rica San José                           Chad R. Wilkinson
  Democratic Republic of the Congo Lubumbashi   Phillip W. McMullin
  Denmark Copenhagen                            Shawn D. Sederholm
  Dominican Republic Santiago                   John Douglas
  England Birmingham                            R. Craig Rasmussen
  England London                                David J. Jordan
  England London South                          Roger C. Millar
  France Lyon                                   Blake M. Roney
  Georgia Atlanta                               John R. Harding
  Germany Berlin                                Henry W. Kosak
  Ghana Kumasi                                  Leon A. Holmes
  Greece Athens                                 Eric B. Freestone
  Haiti Port-au-Prince                          Hubermann Bien-Aimé
  Honduras Comayagüela                          Candido Fortuna
  Hungary Budapest                              Lowell V. Smith
  Idaho Pocatello                               Marvin T. Brinkerhoff
  Illinois Chicago                              Jerry D. Fenn
  India New Delhi                               Peter E. Sackley
  Japan Fukuoka                                 C. Samuel Gustafson
  Japan Tokyo                                   L. Todd Budge
  Korea Seoul                                   Brent J. Christensen
  Madagascar Antananarivo                       David R. Adams
  Maryland Baltimore                            Mark L. Richards
  Massachusetts Boston                          Daniel W. Packard
  Mexico Cuernavaca                             Bruce C. Kusch
  Mexico Guadalajara                            G. Wesley Wagner
  Mexico Guadalajara East                       Luis F. Camarillo
  Mexico Hermosillo                             Alberto E. Hernandez
  Mexico Mexico City South                      Roberto Valadez
  Mexico Monterrey West                         Edward M. Swapp
  Mexico Puebla North                           Ralph N. Christensen
  Mexico Tampico                                Ralph B. Jordan III
  Mexico Xalapa                                 Paulo Lopez
  Mississippi Jackson                           Mark J. McDonough
  Montana Billings                              Kris J. Mecham
  Mozambique Maputo                             Paulo V. Kretly
  Nebraska Omaha                                Michael D. Weston
  Nevada Reno                                   David N. Hermansen
  New Mexico Farmington                         Doyle L. Batt
  New York New York North                       Thomas B. Morgan
  New York New York South                       Kevin E. Calderwood
  New York Utica                                Joseph B. Wirthlin Jr.
  Nigeria Calibar                               John E. Kosin
  North Carolina Charlotte                      Ronald L. Craven
  North Carolina Raleigh                        Marc A. Bernhisel
  Norway Oslo                                   Don A. Evans
  Ohio Cleveland                                Michael L. Vellinga
  Oklahoma Tulsa                                Scott K. Shumway
  Papua New Guinea Port Moresby                 Suliasi Vea Kaufusi
  Paraguay Asunción                             P. David Agazzani
  Peru Lima Central                             Alan M. Borg
  Peru Lima South                               Sean Douglas
  Peru Piura                                    Chad A. Rowley
  Philippines Bacolod                           Marlo O. Lopez
  Philippines Baguio                            William J. Monahan
  Philippines Laoag                             Julius Jonah F. Barrientos
  Portugal Lisbon                               Stephen L. Fluckiger
  Russia Rostov-na-Donu                         William H. Prows
  Russia Vladivostok                            Gregory S. Brinton
  Scotland/Ireland                              Alan H. Brown
  Singapore                                     Bradley S. Mains
  South Dakota Rapid City                       Curtis E. Anderson
  Spain Barcelona                               Mark L. Pace
  Spain Madrid                                  Scott T. Jackson
  Spain Málaga                                  Monte M. Deere Jr.
  Taiwan Taipei                                 David O. Day
  Texas Houston South                           Brian K. Ashton
  Thailand Bangkok                              David M. Senior
  Ukraine Dnepropetrovsk                        J. Robert van Bruggen
  Uruguay Montevideo                            David K. Armstrong
  Utah Ogden                                    Maurice D. Hiers Jr.
  Utah Provo                                    John A. McCune
  Utah Salt Lake City Central                   Richard W. Moffat
  Utah Salt Lake City West                      Earl S. Swain
  Vanuatu Port Vila                             Larry E. Brewer
  Venezuela Barcelona                           Juan C. Chacin
  Venezuela Maracaibo                           Juan F. Zorrilla
  Washington DC South                           Matthew L. Riggs
  Washington Spokane                            Donald E. Mullen
  West Indies                                   Daniel S. Mehr II
  Zimbabwe Harare                               Bryson C. Cook
