Al comienzo de este año la Iglesia anunció los nombres de 110 nuevos presidentes de misión. La mayoría de ellos comenzarán este mes su llamamiento de dos o tres años acompañados de sus esposas.

  Misión                                       Nuevo presidente
  -------------------------------------------- ----------------------------
  Alemania Berlín                              Henry W. Kosak
  Argentina Bahía Blanca                       Manuel Parreno
  Argentina Neuquén                            Paul R. Lovell
  Australia Adelaide                           Bradley D. Carter
  Australia Perth                              R. Bruce Lindsay
  Australia Sidney                             Philip F. Howes
  Bélgica/Países Bajos                         Alden C. Robinson
  Brasil Belém                                 Jose C. Scisci
  Brasil Belo Horizonte                        Paschoal F. Fortunato
  Brasil Campinas                              Carlos E. Perrotti
  Brasil Cuiabá                                Keith R. Reber
  Brasil Porto Alegre Norte                    D. Layne Wright
  Brasil Porto Alegre Sur                      Palmênio C. Castro
  Brasil Salvador Sur                          Marcelo Andrezzo
  Brasil São Paulo Este                        Ronald A. Ferrin
  Brasil Teresina                              Alvacir L. Siedschlag
  Bulgaria Sofía                               Michael S. Wilstead
  California Oakland/San Francisco             David N Weidman
  California San Fernando                      Kenneth T. Hall
  California Santa Rosa                        Rene R. Alba
  Camboya Phnom Penh                           David C. Moon
  Canadá Calgary                               Howard Nicholas
  Canadá Halifax                               Brian Leavitt
  Canadá Winnipeg                              Kirk M. Thomas
  Carolina del Norte Charlotte                 Ronald L. Craven
  Carolina del Norte Raleigh                   Marc A. Bernhisel
  Chile Santiago Este                          David L. Wright
  Chile Viña del Mar                           Frederico M. Kähnlein
  China Hong Kong                              Val D. Hawks
  Colombia Bogotá Norte                        Mark F. Andelin
  Colombia Bogotá Sur                          Letvin Lozano
  Colombia Medellín                            Roberto O. Pitarch
  Corea Seúl                                   Brent J. Christensen
  Costa Rica San José                          Chad R. Wilkinson
  Dakota del Sur Rapid City                    Curtis E. Anderson
  Dinamarca Copenhague                         Shawn D. Sederholm
  Escocia/Irlanda                              Alan H. Brown
  España Barcelona                             Mark L. Pace
  España Madrid                                Scott T. Jackson
  España Málaga                                Monte M. Deere Jr.
  Filipinas Bacolod                            Marlo O. Lopez
  Filipinas Baguio                             William J. Monahan
  Filipinas Laoag                              Julius Jonah F. Barrientos
  Francia Lyon                                 Blake M. Roney
  Georgia Atlanta                              John R. Harding
  Ghana Kumasi                                 Leon A. Holmes
  Grecia Atenas                                Eric B. Freestone
  Haití Port-Au-Prince                         Hubermann Bien-Aimé
  Honduras Comayagüela                         Cándido Fortuna
  Hungría Budapest                             Lowell V. Smith
  Idaho Pocatello                              Marvin T. Brinkerhoff
  Illinois Chicago                             Jerry D. Fenn
  India Nueva Delhi                            Peter E. Sackley
  Indias Occidentales                          Daniel S. Mehr II
  Inglaterra Birmingham                        R. Craig Rasmussen
  Inglaterra Londres                           David J. Jordan
  Inglaterra Londres Sur                       Roger C. Millar
  Japón Fukuoka                                C. Samuel Gustafson
  Japón Tokio                                  L. Todd Budge
  Madagascar Antananarivo                      David R. Adams
  Maryland Baltimore                           Mark L. Richards
  Massachusetts Boston                         Daniel W. Packard
  México Ciudad de México Sur                  Roberto Valadez
  México Cuernavaca                            Bruce C. Kusch
  México Guadalajara                           G. Wesley Wagner
  México Guadalajara Este                      Luis F. Camarillo
  México Hermosillo                            Alberto E. Hernández
  México Monterrey Oeste                       Edward M. Swapp
  México Puebla Norte                          Ralph N. Christensen
  México Tampico                               Ralph B. Jordan III
  México Xalapa                                Paulo López
  Misisipí Jackson                             Mark J. McDonough
  Montana Billings                             Kris J Mecham
  Mozambique Maputo                            Paulo V. Kretly
  Nebraska Omaha                               Michael D. Weston
  Nevada Reno                                  David N. Hermansen
  Nigeria Calibar                              John E. Kosin
  Noruega Oslo                                 Don A. Evans
  Nueva York Nueva York Norte                  Thomas B. Morgan
  Nueva York Nueva York Sur                    Kevin E. Calderwood
  Nueva York Utica                             Joseph B. Wirthlin Jr.
  Nuevo México Farmington                      Doyle L. Batt
  Ohio Cleveland                               Michael L. Vellinga
  Oklahoma Tulsa                               Scott K. Shumway
  Papua Nueva Guinea Puerto Moresby            Suliasi Vea Kaufusi
  Paraguay Asunción                            P. David Agazzani
  Perú Lima Central                            Alan M. Borg
  Perú Lima Sur                                Sean Douglas
  Perú Piura                                   Chad A. Rowley
  Portugal Lisboa                              Stephen L. Fluckiger
  República Democrática del Congo Lubumbashi   Phillip W. McMullin
  República Dominicana Santiago                John Douglas
  Rusia Rostov-na-Donu                         William H. Prows
  Rusia Vladivostok                            Gregory S. Brinton
  Singapur                                     Bradley S. Mains
  Tailandia Bangkok                            David M. Senior
  Taiwán Taipei                                David O. Day
  Texas Houston Sur                            Brian K. Ashton
  Ucrania Dnepropetrovsk                       J. Robert van Bruggen
  Uruguay Montevideo                           David K. Armstrong
  Utah Ogden                                   Maurice D. Hiers Jr.
  Utah Provo                                   John A. McCune
  Utah Salt Lake City Central                  Richard W. Moffat
  Utah Salt Lake City Oeste                    Earl S. Swain
  Vanuatu Port Vila                            Larry E. Brewer
  Venezuela Barcelona                          Juan C. Chacin
  Venezuela Maracaibo                          Juan F. Zorrilla
  Washington D.C. Sur                          Matthew L. Riggs
  Washington Spokane                           Donald E. Mullen
  Zimbabue Harare                              Bryson C. Cook
