# Reseña histórica

La siguiente cronología proporciona un breve marco histórico para las enseñanzas del presidente Ezra Taft Benson que se presentan en este libro.

  ---------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  4 de agosto de 1899                            Nace cerca de Whitney, Idaho; sus padres son George Taft Benson, hijo, y Sara Dunkley Benson.
  1912 a 1913                                    Asume muchas responsabilidades en casa mientras su padre presta servicio en una misión en el norte de los Estados Unidos.
  1914 a 1919                                    Asiste a la Academia de la Estaca Oneida, en Preston, Idaho, y obtiene su título de estudios.
  1918                                           Es llamado a servir como asistente del maestro Scout (un líder de los hombres jóvenes) en su barrio en Whitney.
  1920                                           Conoce a Flora Smith Amussen, su futura esposa.
  1921                                           Asiste a la Facultad de Agricultura de Utah (actualmente, la Universidad del Estado de Utah) en Logan, Utah.
  13 de julio de 1921                            Su padre lo ordena élder.
  15 de julio de 1921 a 2 de noviembre de 1923   Presta servicio como misionero de tiempo completo en la Misión Británica.
  25 de agosto de 1924 a junio de 1926           Flora presta servicio en una misión de tiempo completo en las Islas Hawaianas.
  Otoño de 1924                                  Compra la granja familiar de Whitney junto con su hermano Orval.
  Primavera de 1926                              Se gradúa de la Universidad Brigham Young.
  10 de septiembre de 1926                       Se casa con Flora en el Templo de Salt Lake.
  Septiembre de 1926 a junio de 1927             Asiste a la Facultad del Estado de Iowa de Agricultura y Artes Mecánicas (actualmente la Universidad de Ciencia y Tecnología del Estado de Iowa), y obtiene el título de maestría en economía agraria.
  Junio de 1927                                  Regresa a vivir en la granja familiar en Whitney.
  1929                                           Acepta el cargo de agente agrario del condado de Franklin, Idaho. Se marcha de la granja y se muda cerca de allí a Preston, Idaho.
  1930 a 1939                                    Empleado como economista agrario y especialista de la División de Extensión de la Universidad de Idaho.
  Enero de 1935 a noviembre de 1938              Presta servicio como primer consejero de la presidencia de la Estaca Boise.
  Noviembre de 1938 a marzo de 1939              Presta servicio como presidente de la Estaca Boise.
  1939 a 1943                                    Trabaja como secretario ejecutivo del Consejo Nacional de Cooperativas Agrícolas en Washington D. C. Vive con su familia en Bethesda, Maryland.
  Junio de 1940                                  Es llamado a servir como presidente de la Estaca Washington, en Washington D. C.
  26 de julio de 1943                            Es llamado a servir como miembro del Quórum de los Doce Apóstoles.
  7 de octubre de 1943                           Es ordenado apóstol y apartado como miembro del Quórum de los Doce Apóstoles por el presidente Heber J. Grant.
  Enero de 1946 a diciembre de 1946              Presta servicio como presidente de la Misión Europea, donde contribuye a aportar auxilio temporal y espiritual a los Santos de los Últimos Días tras la devastación de la Segunda Guerra Mundial.
  16 de julio de 1946                            Dedica Finlandia para la predicación del Evangelio.
  Enero de 1953 a enero de 1961                  Presta servicio como secretario de agricultura de los Estados Unidos bajo el mandato del presidente Dwight D. Eisenhower.
  Enero de 1964 a septiembre de 1965             Presta servicio de nuevo como presidente de la Misión Europea.
  10 de noviembre de 1966                        Rededica Italia para la predicación del Evangelio.
  14 de abril de 1969                            Dedica Singapur para la predicación del Evangelio.
  26 de octubre de 1969                          Dedica Indonesia para la predicación del Evangelio.
  30 de diciembre de 1973                        Es apartado como presidente del Quórum de los Doce Apóstoles.
  10 de noviembre de 1985                        Es apartado como presidente de La Iglesia de Jesucristo de los Santos de los Últimos Días.
  24 de octubre de 1986                          Dedica el Templo de Denver, Colorado.
  28 de agosto de 1987                           Dedica el Templo de Fráncfort, Alemania. (Durante su servicio como presidente de la Iglesia se dedicaron nueve templos.)
  2 de octubre de 1988                           Pronuncia su último discurso de conferencia general en persona. (Después de octubre de 1988, su frágil salud física le impidió tomar la palabra en la conferencia general. Sus consejeros en la Primera Presidencia leían sermones en su nombre o citaban mensajes que él había dado en discursos anteriores.)
  14 de agosto de 1992                           Llora el fallecimiento de su esposa, Flora.
  30 de mayo de 1994                             Fallece en su casa de Salt Lake City, Utah, unos dos meses antes de cumplir los 95 años.
  ---------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
