# Reseña histórica

La siguiente cronología provee una breve reseña de eventos importantes de la vida y el ministerio del presidente Thomas S. Monson, decimosexto Presidente de La Iglesia de Jesucristo de los Santos de los Últimos Días.

  ----------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  21 de agosto de 1927          Nace en Salt Lake City, Utah; sus padres son G. Spencer Monson y Gladys Condie Monson.
  1945 y 1946                   Sirve en la Reserva Naval de los Estados Unidos.
  1948                          Se gradúa con honores de la Universidad de Utah con una licenciatura en Mercadotecnia.
  1948 y 1949                   Empieza a trabajar en Deseret News como director adjunto de anuncios clasificados, y luego como director del Departamento de Anuncios Clasificados.
  7 de octubre de 1948          Se casa con Frances Beverly Johnson en el Templo de Salt Lake.
  1950 a 1955                   Sirve como obispo del Barrio 6–7 de Salt Lake City.
  1953 a 1959                   Se le nombra director adjunto de anuncios clasificados de Deseret News Press, luego director de ventas y posteriormente director general adjunto.
  1955 a 1957                   Sirve como segundo consejero de la presidencia de la Estaca Temple View.
  1959 a 1962                   Sirve como presidente de la Misión Canadiense, con sede en Toronto.
  Marzo de 1962                 Se le nombra gerente general de Deseret News Press.
  1962 y 1963                   Sirve en el Comité Misional del Sacerdocio de la Iglesia, Comité de Genealogía del Sacerdocio, Comité de Correlación de Adultos, y Comité de Orientación Familiar del Sacerdocio.
  4 de octubre de 1963          Es sostenido como miembro del Cuórum de los Doce: el 10 de octubre de 1963 es ordenado Apóstol y apartado como miembro del Cuórum de los Doce por el presidente Joseph Fielding Smith.
  1965 a 1968                   Supervisa la obra de la Iglesia en el Pacífico Sur.
  9 a 10 de noviembre de 1968   Hace su primera visita a Görlitz, que en ese entonces pertenecía a la antigua República Democrática Alemana, donde promete a los miembros de la Iglesia: “Si continúan siendo leales y fieles […] disfrutarán de toda bendición de la que goce cualquier miembro de la Iglesia en cualquier país”.
  1972 a 1985                   Sirve como presidente del Comité de Ayudas para el estudio de la Biblia, que se convierte en el Comité de Publicación de las Escrituras. Desempeña una función importante en la publicación de la edición Santo de los Últimos Días de la Biblia del rey Santiago (en inglés) en 1979, y las nuevas ediciones del Libro de Mormón, Doctrina y Convenios y La Perla de Gran Precio (en inglés) en 1981.
  Abril de 1974                 Recibe una maestría en Administración de Empresas de la Universidad Brigham Young.
  27 de abril de 1975           Dedica la República Democrática Alemana para la obra misional.
  29 de agosto de 1982          Organiza la primera estaca en Freiberg, en la antigua República Democrática Alemana.
  23 de abril de 1983           Preside la ceremonia de la palada inicial del Templo de Freiberg, Alemania.
  29 de junio de 1985           Participa en la dedicación del Templo de Freiberg, Alemania.
  10 de noviembre de 1985       Es llamado a servir como Segundo Consejero del presidente Ezra Taft Benson.
  5 de junio de 1994            Es llamado a servir como Segundo Consejero del presidente Howard W. Hunter.
  12 de marzo de 1995           Es llamado a servir como Primer Consejero del presidente Gordon B. Hinckley.
  3 de febrero de 2008          Es ordenado y apartado como el decimosexto Presidente de La Iglesia de Jesucristo de los Santos de los Últimos Días.
  10 de febrero de 2008         Dedica el Templo de Rexburg Idaho, el primero de los cuarenta y seis templos que se dedicaron o rededicaron durante su presidencia; diecinueve de los cuales él dedicó o rededicó personalmente.
  10 de abril de 2008           Anuncia la construcción del Templo de Gilbert, Arizona y del Templo Gila Valley, Arizona, el primero de los cuarenta y cinco templos que anunciaría durante su tiempo como presidente.
  20 de junio de 2009           Dedica la Biblioteca de Historia de la Iglesia usando el púlpito de la antigua capilla del Barrio 6–7, donde sirvió como obispo.
  29 de agosto de 2010          Dedica el Templo de Kiev, Ucrania, el primer templo construido en una nación de la antigua Unión Soviética.
  23 de octubre de 2010         Preside la palada inicial del Templo de Roma, Italia.
  Abril de 2011                 Se publica el ciento cincuenta millonésimo ejemplar del Libro de Mormón.
  6 de octubre de 2012          Disminuye la edad de recomendación para servir en la misión a dieciocho años para los hombres jóvenes y a diecinueve para las mujeres jóvenes.
  17 de mayo de 2013            Fallece su esposa, Frances.
  5 de octubre de 2013          Anuncia que el número de miembros de la Iglesia ha sobrepasado los 15 millones.
  5 de octubre de 2013          Anuncia que el número de misioneros de tiempo completo que está prestando servicio ha aumentado de 58 500 a más de 80 000 el año anterior.
  29 de marzo de 2014           Por primera vez, la reunión general de mujeres se lleva a cabo como parte de la conferencia general.
  5 de octubre de 2016          A fin de honrar el servicio de toda una vida que el presidente Monson ha brindado a los jóvenes, un nuevo pabellón de los Boy Scout lleva su nombre y el presidente Henry B. Eyring lo dedica.
  Abril de 2017                 Da su último discurso de conferencia general después de haber dirigido la palabra en conferencias generales por más de cincuenta y tres años.
  2 de enero de 2018            Fallece en su casa, en Salt Lake City, Utah.
  ----------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
