Ciento veinticuatro nuevos presidentes de misión comenzaron su servicio el 1º de julio de 2008, o cerca de esa fecha, tras aceptar las asignaciones extendidas por la Primera Presidencia. Las misiones y sus respectivos presidentes son:

  ------------------------------------------ -----------------------------------
  Misión                                     Nuevo presidente
  Alaska Anchorage                           Alan Roy Dance
  Albania Tirana                             John Martin Neil
  Alemania Frankfurt                         Kevin John Ninow
  Alemania Munich/Austria                    Robert Gideon Condie
  Argentina Buenos Aires Oeste               Evrett Wade Benton
  Argentina Mendoza                          James Blaine Lindahl
  Argentina Resistencia                      Jorge Luis del Castillo
  Argentina Rosario                          Jorge Marcial Villalba
  Argentina Salta                            Dan Northcutt
  Arizona Phoenix                            Paul Sherman Beck
  Arizona Tucson                             Wesley Paul Walker
  Arkansas Little Rock                       Robert Wyman Drewes
  Báltico                                    Douglas Leon Dance
  Bolivia Cochabamba                         Miguel Ángel Tenorio Domínguez
  Brasil Brasilia                            Gelson Pizzirani
  Brasil Florianopolis                       Walter Guedes Queiroz, hijo
  Brasil Fortaleza                           Alan Charles Batt
  Brasil Maceió                              Gary Ray Beynon
  Brasil Manaus                              David Woodward Jayme
  Brasil Recife                              Mário Hélio Emerick
  Brasil Ribeirão Preto                      Ricardo Vieira
  Brasil Río de Janeiro                      Antonio Kaulle Machado Bezerra
  Brasil Río de Janeiro Norte                Scott Warren Pickett
  Brasil Salvador                            Carlos Roberto Toledo
  Brasil São Paulo Interlagos                Christopher George Jackson
  Brasil São Paulo Norte                     Jeffry Lynn Cooley
  Brasil São Paulo Sur                       Stephen Darrow Richardson
  Cabo Verde Praia                           Joselito Medina Costa Neves
  California Anaheim                         Steven Bennett Watrous
  California Arcadia                         Oscar Arthur Pike
  California Fresno                          John Arthur González
  California Riverside                       Melvyn Kemp Reeves
  California Roseville                       Mark James Pendelton
  California Sacramento                      James Stuart Jardine
  California San Diego                       Lee Leonard Donaldson
  California San José                        Eric Michael Jackson
  California Ventura                         Wayne Dale Murri
  Canadá Toronto Este                        Chris Allan Eyre
  Canadá Vancouver                           Kent Kruger Nelson
  Carolina del Sur Columbia                  Stephen Lowell McConkie
  Chile Concepción Sur                       Joe Neil Swenson
  Chile Osorno                               Kenneth David Lovell
  Chile Santiago Norte                       Michael Edward May
  Colombia Cali                              Edgar Naín Bolívar Forero
  Colorado Colorado Springs                  Brian Loyal Pfile
  Colorado Denver Norte                      Gary Gail Ely
  Connecticut Hartford                       Hugh Gary Pehrson
  Corea Pusan                                Kenneth Wayne Jennings, hijo
  Costa de Marfil Abidjan                    Yapo Ayekoue
  Ecuador Guayaquil Norte                    José Wilson Gamboa Gálvez
  Ecuador Quito                              Timothy Quinn Sloan
  El Salvador San Salvador Este              Alex Moroni Pérez Ulin
  El Salvador San Salvador Oeste/Belice      Alejandro López Mota
  Eslovenia/Croacia                          David Henry Hill
  Fiji Suva                                  William Orval Ostler
  Filipinas Ángeles                          Rudy Burt Puzey
  Filipinas Cebú                             Darrel Parke Hansen
  Filipinas Davao                            Jairus Cinco Pérez
  Filipinas Manila                           Mark James Howard
  Filipinas Olongapo                         Dave Advincula Aquino
  Filipinas San Pablo                        Richard Edwin Anderson
  Filipinas Tacloban                         Edwin Valencia Malit
  Finlandia Helsinki                         David Blaine Brown
  Florida Fort Lauderdale                    J. Nathan Hale
  Francia París                              Don Hansen Staheli
  Francia Toulouse                           Michel Joseph Jules Carter
  Georgia Atlanta Norte                      Steven Douglas King
  Georgia Macon                              Mark Oliver Bowman
  Ghana Accra                                Byron Lindsey Smith
  Ghana Cape Coast                           Melvin Burns Sabey
  Guatemala Ciudad de Guatemala Central      Richard Allen Baldwin, hijo
  Guatemala Ciudad de Guatemala Norte        David Jaime Torres Rodríguez
  Guatemala Ciudad de Guatemala Sur          Herbert Edgardo Alvarado Renderos
  Guatemala Quetzaltenango                   Ramón Darío Lorenzana Reyes
  Honduras Tegucigalpa                       Luis Gerardo Chaverri Madrigal
  Inglatera Manchester                       David John Bullock
  Japón Hiroshima                            Yoshiaki Isa
  Japón Kobe                                 William Arthur McIntyre, hijo
  Japón Sapporo                              Lee Alford Daniels
  Japón Sendai                               Reid Tateoka
  Kentucky Louisville                        Steven George Glende
  Louisiana Baton Rouge                      William George Woods
  México Ciudad de México Norte              Daryl Nancollas
  México Oaxaca                              Leobardo De La Cruz Rosales
  México Puebla                              Steven Glen Rex
  México Tijuana                             Robert Hernan Heyn
  México Torreón                             Bruce Richard Clark
  México Tuxtla Gutiérrez                    Guillermo Velasco Coronado
  México Veracruz                            Jay Peter Hansen
  Michigan Lansing                           Marc Ducloux Jones
  Minnesota Minneapolis                      Mark Douglas Howell
  Misuri Independence                        George Johan William Van Komen
  Nevada Las Vegas                           Peter Kevin Christensen
  Nigeria Enugu                              Jerry Reid Boggess
  Nigeria Lagos Este                         Spencer Bennion Jones
  Nigeria Lagos Oeste                        Gary Leslie Neuder
  Nueva Jersey Morristown                    A. Lee Bahr
  Nueva Zelanda Auckland                     Benson Lee Porter
  Nueva Zelanda Wellington                   Clive Richard Jolliffe
  Ohio Columbus                              Robert Forrest Jensen
  Oregon Eugene                              Thomas William Macdonald
  Oregon Portland                            Timothy John Dyches
  Pensilvania Pittsburgh                     Lane Alma Summerhays
  Perú Lima Este                             Juan Augusto Leyva Ponce
  República Dominicana Santo Domingo Este    Guillermo Arturo Antivilo Rojas
  República Dominicana Santo Domingo Oeste   Juan Evangelista Almonte
  Rumania Bucarest                           James Scott Lundberg
  Rusia San Petersburgo                      Gennady Nikolaevich Podvodov
  Samoa Apia                                 Otto Vincent Haleck, hijo
  Sudáfrica Ciudad del Cabo                  Randall K Probst
  Sudáfrica Johannesburgo                    David Edward Poulsen
  Suecia Estocolmo                           Larry Ernest Anderson
  Tahití Papeete                             Matthew Artell Smith
  Tennessee Knoxville                        James Ermon Griffin
  Tennessee Nashville                        Gary Lynn Hutchings
  Texas Dallas                               Barry Morgan Smith
  Texas Houston                              Todd Bailey Hansen
  Texas Houston Este                         Dan Edward Moldenhauer
  Texas Lubbock                              John Lee Robison
  Ucrania Donetsk                            Timothy Lee Fry
  Ucrania Kíev                               Lane Orin Steinagel
  Venezuela Caracas                          Freddy Valentín Herrera Molina
  Virginia Occidental Charleston             Michael William Thornock
  Washington Tacoma                          Harvey Kent Bowen
  ------------------------------------------ -----------------------------------
