La Iglesia anunció los nombres de 127 presidentes de misión nuevos este año, la mayoría de los cuales dio comienzo a su llamamiento de tres años en julio del corriente.

  Misión                                     Nuevo presidente
  ------------------------------------------ --------------------------
  Alaska Anchorage                           N. Warren Clark
  Albania Tirana                             Andrew M. Ford
  Alemania Fráncfort                         Lehi K. Schwartz
  Alpina de habla alemana                    Richard L. Miles
  Argentina Buenos Aires Oeste               Douglas B. Carter
  Argentina Mendoza                          Sergio E. Ávila
  Argentina Resistencia                      Raymond S. Heyman
  Argentina Rosario                          Hugo L. Giuliani
  Argentina Salta                            Juan J. Levrino
  Arizona Phoenix                            R. Scott Taylor
  Arizona Tucson                             Roger E. Killpack
  Arkansas Little Rock                       Daniel Bay Gibbons
  Báltica                                    Jeffrey G. Boswell
  Benín Cotonú                               Robert F. Weed
  Bolivia Cochabamba                         Dan L. Dyer
  Brasil Brasilia                            Helcio L. Gaertner
  Brasil Florianópolis                       J. Joel Fernandes
  Brasil Fortaleza                           Francisco A. Souza
  Brasil Maceió                              Mauricio G. Gonzaga
  Brasil Manaos                              H. Moroni Klein
  Brasil Recife                              Rubens C. Lanius
  Brasil Río de Janeiro                      Geraldo Lima
  Brasil Salvador                            James W. Hart
  Brasil São Paulo Interlagos                R. Pacheco Pinho
  Brasil São Paulo Norte                     Marcus H. Martins
  Brasil São Paulo Sur                       John S. Tanner
  Brasil Vitória                             J. Araújo Bezerra
  Cabo Verde Praia                           Roberto F. Oliveira
  California Anaheim                         Bradford C. Bowen
  California Arcadia                         Jorge T. Becerra
  California Fresno                          Larry Gelwix
  California Riverside                       Paul F. Smart
  California Roseville                       John G. Weston
  California Sacramento                      H. Benson Lewis
  California San Diego                       Paul N. Clayton
  California San José                        W. Lincoln Watkins
  California Ventura                         Fernando R. Castro
  Canadá Vancouver                           Karl M. Tilleman
  Carolina del Sur                           Columbia Monte Holm
  Chile Concepción Sur                       Osvaldo Martínez Carreño
  Chile Osorno                               John E. Rappleye
  Chile Santiago Norte                       Fred D. Essig
  Colombia Cali                              Jonathan M. Prince
  Colorado Colorado Springs                  J. Patrick Anderson
  Colorado Denver Norte                      Jerry M. Toombs
  Corea Busan                                Lynn A. Gilbert
  Costa de Marfil Abiyán                     Z. Dominique Dekaye
  Ecuador Guayaquil Norte                    Lizardo H. Amaya
  Ecuador Quito                              Bruce E. Ghent
  El Salvador San Salvador                   David L. Glazier
  El Salvador Santa Ana/Belice               I. Poloski Cordon
  Eslovenia/Croacia                          Edward B. Rowe
  Filipinas Ángeles                          David C. Martino
  Filipinas Cebú                             Evan A. Schmutz
  Filipinas Davao                            Ferdinand Pangan
  Filipinas Manila                           Lyle J. Stucki
  Filipinas Olongapo                         Roberto B. Querido
  Filipinas Quezón City Norte                Dennis R. Sperry
  Filipinas San Pablo                        George E. Peterson
  Filipinas Tacloban                         José V. Andaya
  Finlandia Helsinki                         Douglas M. Rawlings
  Fiyi Suva                                  Kenneth D. Klingler
  Florida Fort Lauderdale                    Donald E. Anderson
  Francia París                              Franck Poznanski
  Georgia Atlanta Norte                      Mark A. Wolfert
  Ghana Accra                                Daniel K Judd
  Ghana Costa del Cabo                       Jeffrey L. Shulz
  Guatemala Ciudad de Guatemala Central      M. Joseph Brough
  Guatemala Ciudad de Guatemala Norte        Edward D. Watts
  Guatemala Ciudad de Guatemala Sur          Larry Stay
  Guatemala Quetzaltenango                   Lewis Bautista
  Honduras Tegucigalpa                       Carlos A. Hernández
  Inglaterra Manchester                      Robert I. Preston
  Japón Kobe                                 Richard G. Zinke
  Japón Sapporo                              Eric C. Evans
  Japón Sendai                               Gary D. Rasmussen
  Kentucky Louisville                        W. Richards Woodbury
  Luisiana Baton Rouge                       Jim M. Wall
  México Ciudad de México Norte              J. Dana Call
  México Ciudad de México Sudeste            Raymundo Morales Barrera
  México Oaxaca                              Enrique Leyva Jiménez
  México Puebla                              Robert C. Reeves
  México Tijuana                             Armando Carreón Rivera
  México Torreón                             David Flores Villaseñor
  México Tuxtla Gutiérrez                    Juan G. Cárdenas Tamayo
  México Veracruz                            Carlos W. Treviño
  Michigan Lansing                           Stephen H. Hess
  Micronesia Guam                            Stephen F. Mecham
  Minnesota Minneapolis                      Jordan W. Clements
  Misuri Independence                        Donald J. Keyes
  Mongolia Ulán Bator                        Jay D. Clark*
  Nevada Las Vegas                           Michael A. Neider
  Nigeria Lagos                              Edward K. B. Karkari
  Nigeria Port Harcourt                      Philip K. Xaxagbe
  Nueva Jersey Morristown                    Jon M. Jeppson
  Nueva Zelanda Auckland                     Paul N. Lekias
  Nueva Zelanda Wellington                   Michael L. Kezerian
  Ohio Columbus                              Robert T. Nilsen
  Oregón Eugene                              Mark A. Young
  Oregón Portland                            C. Jeffery Morby
  Pensilvania Pittsburgh                     Clinton D Topham
  Perú Chiclayo                              Eduardo C. Risso
  Perú Lima Este                             Nelson Ardila Vásquez
  República Democrática del Congo Kinsasa    Brent L Jameson
  República Dominicana Santo Domingo Este    Heriberto Hernández
  República Dominicana Santo Domingo Oeste   Raúl Rodríguez Morel
  Rumania Bucarest                           Ned C. Hill
  Rusia Ekaterimburgo                        E. Kent Rust
  Rusia Novosibirsk                          Steven M. Petersen
  Rusia San Petersburgo                      Jon Beesley
  Samoa Apia                                 Johnny L. Leota
  Sudáfrica Ciudad del Cabo                  Mark I. Wood
  Sudáfrica Johannesburgo                    S. Craig Omer
  Suecia Estocolmo                           Gregory J. Newell
  Tahití Papeete                             Benjamin T. Sinjoux
  Tennessee Knoxville                        Richard A. Irion
  Tennessee Nashville                        William L. McKee
  Texas Dallas                               Devin G. Durrant
  Texas Houston                              John C. Pingree
  Texas Houston Este                         Thomas J. Crawford
  Texas Lubbock                              Arnold R. Augustin
  Ucrania Donetsk                            Vladimir Campero
  Ucrania Kiev                               Jörg Klebingat
  Venezuela Caracas                          Vianey R. Villamizar
  Virginia Occidental Charleston             Bruce G. Pitt
  Washington Tacoma                          Douglas W. Weaver
  Zambia Lusaka                              Mikele R. Padovich
