name_en,name_es,gender,testament,description,meaning
Aaron,Aarón,Male,Both,brother of Moses (EXO 4:14) and Levitical priest (EXO 28:1),a teacher; lofty; mountain of strength
Abaddon,Abadón,Male,NT,"king over the locusts of Revelation 9, the angel of the abyss (REV 9:11)",the destroyer
Abagtha,Abagtha,Male,Both,one of the seven eunuchs who served in the presence of King Ahasuerus (EST 1:10),father of the wine-press
Abda,Abda,Male,Both,father of Adoniram (1KI 4:6),a servant; servitude
Abdeel,Abdeel,Male,OT,father of Shelemiah_6 (JER 36:26),a vapor; a cloud of God
Abdi,Abdi,Male,OT,son of Malluch (1CH 6:44),my servant
Abdiel,Abdiel,Male,OT,"son of Guni (1CH 5:15), Gadite (1CH 5:11)",servant of God
Abdon,Abdón,Male,Both,son of Hillel who judged Israel for eight years (JDG 12:13),servant; cloud of judgment
Abel,Abel,Male,Both,"son of Adam(GEN 4:2), first person murdered (GEN 4:8)",a city; mourning
Abi,Abi,Female,OT,mother of Hezekiah (2KI 18:2),my father
Abi-albon,Abi-albon,Male,Both,"the Arbathite, twentieth of ""the thirty"" of David's men (2SA 23:31)",most intelligent father
Abiah,Abías,Male,Both,The second son of Samuel ([1 Sam,the Lord is my father
Abiasaph,Abiasaph,Male,OT,son of Korah (EXO 6:24),consuming father; gathering
Abiathar,Abiatar,Male,Both,"son of Ahimelech, the priest (1SA 22:20), counselor to David (1CH 27:34)",excellent father; father of the remnant
Abida,Abida,Male,Both,son of Midian and grandson of Abraham through Keturah (GEN 25:4),
Abidan,Abidan,Male,Both,head of the tribe of Benjamin during the census (NUM 1:11),father of judgment
Abiel,Abiel,Male,OT,"(grand?)father of Kish (1SA 9:1), (great?) grandfather of King Saul",God my father
Abiezer,Abiezer,Male,Both,"the Anathothite (2SA 23:27), twelfth of ""the thirty"" of David's men",father of help
Abigail,Abigail,Female,Both,the Carmelitess (1SA 25:3),the father's joy
Abihail,Abihail,Male,OT,father of Zuriel (NUM 3:35),the father of strength
Abihu,Abiú,Male,Both,"son of Aaron (EXO 6:23), died for offering strange fire to the LORD (NUM 3:4)",he is my father
Abihud,Abihud,Male,Both,son of Bela (1CH 8:3),father of praise; confession
Abijah,Abías,Male,Both,second son of Samuel (1SA 8:2),the Lord is my father
Abijam,Abijam,Male,OT,"King of Judah, son of Rehoboam (1KI 14:31) [Abijah in 2CH 12:16]",father of the sea
Abimael,Abimael,Male,Both,son of Joktan (GEN 10:28),a father sent from God
Abimelech,Abimelec,Male,Both,King of Gerar who took Sarah (GEN 20:2),father of the king
Abinadab,Abinadab,Male,Both,the ark of the stored was kept in his house in Kiriath-jearim (1SA 7:1),"father of a vow, or of willingness"
Abinoam,Abinoam,Male,Both,father of Barak (JDG 4:6),father of beauty
Abiram,Abiram,Male,Both,rebelled against Moses with Korah (NUM 16:1),high father; father of deceit
Abishag,Abishag,Female,Both,"the Shunammite, David's nurse (1KI 1:3-4)",ignorance of the father
Abishai,Abisai,Male,Both,"son of Zeruiah and Joab's brother (1SA 26:6), chief of ""the thirty"" of David's men (2SA 23:18)",the present of my father
Abishalom,Abishalom,Male,Both,father of Maacah the mother of Abijam (1KI 15:2),father of peace
Abishua,Abishua,Male,Both,son of Phinehas (1CH 6:4),father of salvation
Abishur,Abishur,Male,Both,son of Shammai (1CH 2:28),father of the wall; father of uprightness
Abital,Abital,Female,OT,wife (concubine?) of King David (2SA 3:4),the father of the dew; or of the shadow
Abitub,Abitub,Male,OT,son of Shaharaim by Hushim (1CH 8:11),father of goodness
Abiud,Abiud,Male,NT,A descendant of Zerubbabel and father of Eliakim ([Matt,father of praise
Abner,Abner,Male,OT,captain of Saul's army and Saul's uncle (1SA 14:50),father of light
Abraham,Abraham,Male,OT,"Father of a multitude, son of Terah, named ([Gen",father of a great multitude
Abram,Abram,Male,OT,son of Terah (GEN 11:26),high father
Absalom,Absalón,Male,OT,third-born son of King David (2SA 3:3),father of peace
Achaicus,Achaicus,Male,NT,Paul rejoiced over him (1CO 16:17),a native of Achaia; sorrowing; sad
Achan,Acán,Male,OT,took forbidden things from Jericho (JOS 7:1),"or Achar, he that troubleth"
Achbor,Achbor,Male,OT,father of Baal-hanan (GEN 36:38),a rat; bruising
Achim,Achim,Male,NT,son of Zadok in the lineage of the Messiah (MAT 1:14),preparing; revenging; confirming
Achish,Achish,Male,Both,King of Gath (1SA 21:10) before whom David feigned madness,thus it is; how is this
Achsa,Achsa,Female,Unknown,,
Achsah,Achsah,Female,OT,daughter of Caleb (JOS 15:16),adorned; bursting the veil
Adah,Adah,Female,Both,wife of Lamech (GEN 4:19),an assembly
Adaiah,Adaías,Male,OT,"of Bozkath, father of Jedidah (2KI 22:1)",the witness of the Lord
Adalia,Adalia,Male,OT,son of Haman (EST 9:8),
Adam,Adán,Male,NT,first man (1CO 15:45),earthy; red
Adbeel,Adbeel,Male,Both,third-born son of Ishmael (GEN 25:13),"vapor, or cloud of God"
Addar,Addar,Male,OT,"Ample, splendid, son of Bela ([1 Chr",
Addi,Addi,Male,NT,in the lineage of Messiah (LUK 3:28),my witness; adorned; prey
Ader,Ader,Male,Unknown,,
Adiel,Adiel,Male,Both,"??? (1CH 4:36), Simeonite (1CH 4:24)",the witness of the Lord
