name,cat,reason,degree,fam,cooc,mentions
Peace and Violence,1,clean,382,0,187,21
Salt of the Earth: Savor of Men and Saviors of Men,1,clean,63,0,21,14
The Law of Tithing Up,1,clean,49,0,26,1
The Great Recession,1,clean,206,0,99,1
Land as Lover:,2,trailing_punct,54,0,21,1
Older English,1,clean,62,0,20,1
The Bridge,1,clean,25,0,13,1
The Crack-Up,1,clean,22,0,4,3
Baptism and Church,1,clean,186,0,79,1
"Book of Mormon Reaches 150 Million Copies,”Church News",1,clean,68,0,32,5
favorite book”—the Book of Mormon,1,clean,21,0,4,1
Lineage,1,clean,21,0,11,1
The Boyhood of the Prophet,1,clean,40,0,26,1
The Saeculum Novum of Augustus,1,clean,38,0,22,1
Covenants 8:2–5,1,clean,5,0,1,2
Baruch and Jeremiah,1,clean,45,0,14,3
Special Witness,1,clean,50,0,26,1
the First Amendment,1,clean,537,0,259,59
The Periplus of the Erythraean Sea,1,clean,38,0,29,0
Accidents,1,clean,0,0,0,0
the King’s Gate,1,clean,33,0,10,8
Lev 8:2,3,scripture_ref,62,0,17,6
That Our Children May Know,1,clean,126,0,48,7
Section 18,1,clean,144,0,62,16
Hearts Bound,1,clean,96,0,40,1
"The White Horse (Rev 6:1,2",1,clean,48,0,20,1
"Taking Stock,”Improvement Era",1,clean,141,0,62,1
the Covenant People,1,clean,45,0,17,15
the Masoretic Text,1,clean,176,0,68,31
Tubias,1,clean,1,0,0,1
Royal Arch,1,clean,163,0,73,3
Challenges to the Theory,1,clean,94,0,24,4
>Witness for His Names</cite,5,starts_nonword,35,0,9,4
Brother So-and-So,1,clean,53,0,30,1
Draw Strength,1,clean,20,0,4,1
Chapter II,1,clean,208,0,57,36
Exodus 24:5,1,clean,99,0,32,32
Followers,1,clean,39,0,26,1
Keeping the Sabbath Day Holy,1,clean,35,0,12,1
Prophet of the Jubilee,1,clean,170,0,98,2
The Fulfillment of Helaman 5:6‒7,1,clean,65,0,14,21
Just the Facts Please,1,clean,97,0,39,3
Contrite Heart,1,clean,31,0,12,5
Covenants 42:11 Doctrine,1,clean,55,0,1,39
Rising,1,clean,38,0,17,7
The Golden Legend,1,clean,35,0,14,6
the Code of Hammurabi,1,clean,1,0,0,1
Numbers 26:29,1,clean,57,0,17,18
Revelation 5:3,1,clean,49,0,8,7
Special Experiences,1,clean,16,0,10,1
She Made Home a Happy Place,1,clean,129,0,71,1
Reader’s Edition of the Book of Mormon,1,clean,28,0,7,8
Chapter 37,1,clean,242,0,73,32
Taultees,1,clean,35,0,27,1
A History of ‘Especially for Youth’—1976–1986,1,clean,126,0,59,1
Ask Heavenly Father,1,clean,11,0,2,1
Exodus 31,1,clean,27,0,7,10
The Role of Human Sacrifice,1,clean,62,0,26,1
JS,1,clean,4439,0,2263,623
Sibraim,1,clean,1,0,0,1
Terrestrial Kingdom,1,clean,1854,0,484,666
Our Path of Duty,1,clean,27,0,9,6
Psal 45,1,clean,36,0,8,2
">A History of the South African Mission, Period II",5,starts_nonword,65,0,29,1
the Book of Mormon from Moroni at the Hill Cumorah,1,clean,94,0,46,2
Ezekiel ii,1,clean,90,0,37,2
Doctrine and Covenants 59:21 Alma 36:30 Doctrine and Covenants 42:44 Doctrine and Covenants 122:7 Doctrine and Covenants 122:9 Alma 60:13,5,overlong,26,0,1,22
Less Holy,1,clean,43,0,15,4
Brim,1,clean,1,0,0,1
Maintain Your Place,1,clean,30,0,9,2
the Book of Mormon by the Prophet’s,2,possessive,24,0,7,1
Mormonism in,1,clean,117,0,82,3
Nephi 17:20</a></p,5,html_fragment,16,0,2,10
Tabernacles (Sukkot,1,clean,76,0,38,1
The Enlightened,1,clean,36,0,23,1
Covenants 19:28 - M.,1,clean,37,0,6,17
SACRED,1,clean,35,0,17,1
Chapter 2.--Israel's,2,possessive,74,0,23,1
Men Who Tithe,1,clean,74,0,29,3
Phassurus,1,clean,1,0,0,1
Come Unto Christ,1,clean,36,0,11,1
the Book of Mormon Videos,1,clean,100,0,54,10
Rabbi,1,clean,2,0,0,2
The secret’s,2,possessive,31,0,13,1
The Book of Mormon Onomasticon,1,clean,165,0,67,2
the God of,1,clean,577,0,170,125
Ezekiel 37:1-14,1,clean,110,0,41,27
Keep the Church Record & History,1,clean,37,0,20,2
True Policy for Utah,1,clean,219,0,138,3
The Poor and the Needy,1,clean,74,0,19,22
Givenses,1,clean,104,0,35,5
Kingdom on the Mississippi,1,clean,52,0,27,1
Young Men’s] Mutual Improvement Societies,1,clean,67,0,40,2
The Meaning of Religion(The Hague,1,clean,174,0,75,1
Six Onties of Silver,1,clean,50,0,12,14
Above All Things,1,clean,52,0,22,4
"""The Snail and the Rose Bush",5,unbalanced_quotes,11,0,2,1
charity,4,single_lowercase,1,0,0,0
Journal of Family History 5,1,clean,74,0,48,1
Helkath,1,clean,2,0,0,2
Justification and Atonement,1,clean,101,0,32,4
ar'eli,4,single_lowercase,78,0,36,1
The Gift of Working,1,clean,72,0,22,4
Chapter I,1,clean,68,0,15,26
Section 30,1,clean,64,0,40,1
Gospel Art Picture Kit 240,1,clean,26,0,8,1
I’m Trying to Be like Jesus” (Children’s Songbook,1,clean,325,0,100,90
The Lord God Will Deliver Again the Book,1,clean,51,0,6,21
"No, Shery! Cheating",1,clean,11,0,8,1
Living My Covenants,1,clean,21,0,10,1
Pairs,1,clean,1,0,0,1
"Asked why Jesus would manifest to disciples, not world",1,clean,1,0,0,0
Septuagint semasia,1,clean,44,0,27,1
The LDS Book of Moses,1,clean,17,0,2,4
l-Yahweh,4,single_lowercase,38,0,0,7
King of Salem,1,clean,1584,0,538,331
Rain Is Falling All Around,1,clean,13,0,4,1
The Second Book of Esdras,1,clean,50,0,18,2
History,1,clean,244579,0,112128,44814
Second” Books of Samuel,1,clean,75,0,22,8
The Sabbath Day” - Video: “Share Your Sabbath,1,clean,12,0,1,3
Love Those You Teach,1,clean,64,0,22,4
The Prophet Joseph,1,clean,591,0,253,59
inOld Testament in Archaeology,1,clean,69,0,29,1
Covenants 124:25–45,1,clean,100,0,43,14
Anglo-Saxons and Others,1,clean,32,0,20,1
the Book of Mormon and The Maya support the general area,1,clean,37,0,15,8
"Book of the Law of the Lord, 4",1,clean,39,0,9,13
Preparing for That Which Is to Come.” BYU devotional address,1,clean,93,0,36,1
"Savior, Redeemer of My Soul",1,clean,16,0,3,1
"Bye, Mom! Bye, Dad!",1,clean,25,0,12,1
I Have Sinned against Heaven,1,clean,49,0,19,4
Doctrine and Covenants 109:47–49,1,clean,57,0,11,19
"the Acropolis are the Erechtheum and the ""Wingless Victory",5,unbalanced_quotes,0,0,0,0
Alma Preaches the Word of God,1,clean,42,0,12,7
"href=""/study/ya-",5,html_fragment,66,0,25,6
Numbers 28,1,clean,90,0,34,18
Crucified One,1,clean,37,0,7,8
"The Individual Sacrament Cup,”Young Woman’s Journal",1,clean,96,0,42,2
Page 82,1,clean,369,0,152,61
The Signs of Messiah's Death,1,clean,22,0,10,1
"""Secret Constitution",5,unbalanced_quotes,16,0,8,1
Quadragesima,1,clean,1,0,0,1
"Sabbath Scene in Nauvoo,”Times and Seasons",1,clean,96,0,28,6
The Deseret Book Company of Salt Lake City,1,clean,41,0,14,2
Our] Selfishness,1,clean,103,0,46,3
the Parable of the Rich Man and Lazarus,1,clean,25,0,9,1
Bible and Literature,1,clean,61,0,26,1
Until We Meet Again,1,clean,254,0,100,29
the Book of Mormon and Book of Moses,1,clean,112,0,27,8
the Beautiful Gate,1,clean,33,0,18,1
Mark 3:4,3,scripture_ref,67,0,18,23
The Book of Mormon Ensemble a Witness for the Truth of the Hebrew and Christian Revelation,5,overlong,28,0,12,1
Chapter 50,1,clean,48,0,14,15
The Improvement Era 69,1,clean,127,0,61,1
Nineteenth Century,1,clean,77,0,42,1
the New Testament Apocrypha,1,clean,100,0,57,3
7]“The Family: A Proclamation,1,clean,165,0,59,7
Koran 38 41,1,clean,84,0,38,1
"The Spirit of the Gospel, the Soul of Relief Society",1,clean,47,0,30,1
Covenants 46:8 Doctrine and,1,clean,43,0,2,33
Autobiography of P. P. Pratt,1,clean,90,0,45,2
"the Book of Mormon , View of the Hebrews",1,clean,39,0,18,1
the Level of Narrative Technique,1,clean,18,0,5,2
Chapter 3 # Adversity,1,clean,16,0,6,1
Isaiah 4:5,1,clean,304,0,85,127
Emerging Infectious Diseases,1,clean,74,0,29,1
The Book of Mormon and the,1,clean,71,0,21,24
"Smith, Mercy Josephine",1,clean,79,0,24,1
