name,cat,reason,degree,fam,cooc,mentions
## Cautionary,5,starts_nonword,29,0,20,1
## Post-Ascension,5,starts_nonword,30,0,18,1
"145,513.78",1,clean,28,0,26,1
sixty cents,1,clean,132,0,95,2
10x12 feet,1,clean,54,0,35,1
11.50,5,numeric_only,170,0,90,2
about one hundred gallons,1,clean,36,0,20,1
about a mile N. of Heshbon,1,clean,104,0,75,1
## Bolster,5,starts_nonword,53,0,36,1
about 50 feet,1,clean,19,0,15,1
## Scripture,5,starts_nonword,202,0,142,4
42-acre,1,clean,39,0,29,1
25:8 | Mark 16:1–6,1,clean,120,0,95,2
## Nigh ### Nigh ni,5,starts_nonword,53,0,35,1
## Maranatha #,5,starts_nonword,44,0,25,1
## Carshena #,5,starts_nonword,1,0,0,1
## Marriage and Family,5,starts_nonword,51,0,25,1
## Naggai ###,5,starts_nonword,133,0,73,1
46:29,5,numeric_only,73,0,41,2
## Setting ###,5,starts_nonword,1,0,0,1
three marks,1,clean,116,0,78,1
about six inches,1,clean,509,0,319,28
about $250.00,1,clean,36,0,15,1
## Latter-day,5,starts_nonword,240,0,170,15
## Valley,5,starts_nonword,112,0,66,2
## Gem ###,5,starts_nonword,1,0,0,1
## Africa #,5,starts_nonword,26,0,0,1
## Ezion-Geber EZION-GEBER,5,starts_nonword,64,0,32,1
### Anoint,5,starts_nonword,19,0,0,1
"1Co 3:6,10",1,clean,0,0,0,0
## Stream ###,5,starts_nonword,0,0,0,0
## Surety ###,5,starts_nonword,0,0,0,0
36:37,5,numeric_only,125,0,67,3
"16:13,15",3,short_scripture,1,0,0,1
seventy-five thousand pounds,1,clean,42,0,33,1
"14,000 meters",1,clean,52,0,34,1
## Divination,5,starts_nonword,231,0,156,4
## Sabaoth SABAOTH,5,starts_nonword,42,0,33,1
8:9–25,5,numeric_only,83,0,54,1
## Pedigree ###,5,starts_nonword,1,0,0,1
27:9,5,numeric_only,235,0,144,5
"about 100,000 light-years",1,clean,25,0,15,1
thirteen hundred miles,1,clean,125,0,96,4
## Simple ###,5,starts_nonword,0,0,0,0
seventy-mile,4,single_lowercase,41,0,26,1
5a,1,clean,24,0,8,1
twenty-three feet,1,clean,97,0,63,2
## Transgression ### Transgression,5,starts_nonword,46,0,34,1
32:7 f.,3,short_scripture,53,0,36,1
## Bozkath,5,starts_nonword,1,0,0,1
## Baptist ###,5,starts_nonword,1,0,0,1
## Haggai HAGGAI,5,starts_nonword,69,0,39,1
"1,000-square-foot",1,clean,47,0,27,1
## Iscah Spy,5,starts_nonword,71,0,27,1
## Incest ## Rape ##,5,starts_nonword,44,0,24,1
## Nineteenth-Century,5,starts_nonword,55,0,29,2
"4,866",1,clean,163,0,112,2
about 15 cents per day,1,clean,40,0,19,1
## Obeisance,5,starts_nonword,42,0,26,1
## Nephi’s Description,5,starts_nonword,36,0,22,1
## Anchor ###,5,starts_nonword,23,0,0,1
three degrees below zero,1,clean,62,0,36,1
## Introduction Discovering,5,starts_nonword,61,0,42,1
1:30,5,numeric_only,125,0,96,2
411-408,5,numeric_only,75,0,49,1
## Confound ###,5,starts_nonword,1,0,0,1
