name,cat,reason,degree,fam,cooc,mentions
their 33 years,1,clean,43,0,21,1
"May, 1819",1,clean,74,0,22,1
the conference year,1,clean,51,0,23,1
11:39–40,5,numeric_only,98,0,65,4
"July 26, 1837",1,clean,153,0,68,2
"July 4, 2002",1,clean,15,0,11,1
"May 10, 1857",1,clean,70,0,22,1
8:38 . 5,5,numeric_only,39,0,22,0
Eleven years ago,1,clean,28,0,16,1
the last fifty years of the twentieth century,1,clean,12,0,5,1
"13, 1911",1,clean,42,0,24,1
1871-1942,5,numeric_only,109,0,51,1
the Paris Mission,1,clean,53,0,30,1
thirty-five years later,1,clean,77,0,46,1
those ages 50 to 64,1,clean,21,0,15,1
the pseudepigraphicalLetter of Aristeasof seventy-two,1,clean,151,0,59,1
"August 22, 2004",1,clean,27,0,16,1
8:27-30,5,numeric_only,69,0,43,2
"Aug. 9, 1866",1,clean,71,0,39,1
"June 11, 1913",1,clean,61,0,25,1
"May 15, 2014",1,clean,129,0,69,2
B.C. 1045,1,clean,282,0,148,2
nine o’clock,1,clean,425,0,227,13
perhaps weeks,1,clean,77,0,51,3
November 1835 This week,1,clean,35,0,23,1
"Tuesday, 11.âForenoon",1,clean,75,0,36,1
"August 6 and 7, 1844",1,clean,71,0,47,1
"Monday, June 11.--President",1,clean,75,0,29,1
2Ma 4:19,1,clean,38,0,22,1
no later than 1751. 43,1,clean,46,0,36,1
Before spring,1,clean,29,0,14,1
Helaman 1:7–8,3,scripture_ref,14,0,7,1
"May 1843âJune 1844,vol. 3",1,clean,76,0,39,1
only nineteen years of age,1,clean,41,0,16,1
8:45 P.M.,3,short_scripture,20,0,14,1
"October, 1830",1,clean,300,0,165,10
"Apr. 3, 1898",1,clean,87,0,58,1
"January 10, 1524",1,clean,34,0,16,1
42]Taylor,1,clean,36,0,22,1
10]Peck,1,clean,55,0,30,1
Jg 3:23,1,clean,0,0,0,0
November 24th,1,clean,35,0,16,1
1:10–16,5,numeric_only,227,0,138,3
thirstIsaiah 5:13 qērēaḥbaldLeviticus 13:40,1,clean,46,0,38,1
15:49-58,5,numeric_only,62,0,48,1
"Dec. 16, 2005",1,clean,74,0,51,1
the fourth day of the first month of the thirty-fourth year,1,clean,75,0,54,2
section 64:8–13,1,clean,26,0,14,1
nearly nine hours,1,clean,21,0,13,1
"Apr. 25, 1855",1,clean,100,0,50,1
Christmas past,1,clean,60,0,35,3
"April 7, 1884",1,clean,117,0,61,2
a special quarter,1,clean,75,0,39,2
2:15 11,5,numeric_only,45,0,35,1
the TwelveâTheir Depression of Spirit,1,clean,70,0,29,1
2:605,5,numeric_only,86,0,36,1
Spring 2020,1,clean,121,0,59,1
1.16–2.25,5,numeric_only,53,0,32,1
1650s,1,clean,27,0,24,1
