name,cat,reason,degree,fam,cooc,mentions
Dolly Nyandeni,1,clean,21,0,10,2
Lined,1,clean,38,0,8,1
Peter Jacobsen Peder Madsen,1,clean,70,0,22,1
Neal A. - Consecrate Thy Performance,1,clean,92,0,64,2
Nancy Winchester,1,clean,629,0,346,14
Earl C. - Footprints,1,clean,78,0,51,1
Growth Pervasive,1,clean,32,0,17,1
tg adam-ondi-,1,clean,219,0,110,1
Matanzas,1,clean,240,0,130,1
Rama Habitacional,1,clean,45,0,23,1
Luke 10:16,3,scripture_ref,305,0,94,90
David D. Nations,1,clean,40,0,26,1
karua,4,single_lowercase,53,0,13,1
Ezra 5:1,3,scripture_ref,307,0,120,55
Sabbath Day,1,clean,67,0,17,7
Zang,1,clean,26,0,7,1
Delightsome de-lit'-sum,1,clean,95,0,42,1
Bernick,1,clean,130,0,65,2
Effiong,1,clean,37,0,11,4
Samuel Hopkins,1,clean,126,0,51,3
David O. McKay(Salt,1,clean,381,0,177,12
kalodidaskalos,4,single_lowercase,1,0,0,1
habló Brigham,1,clean,50,0,25,1
Ezekiel 11:1,1,clean,83,0,39,26
Nicholas J. Moore,1,clean,79,0,41,2
Leonard Greenspoon,1,clean,93,0,19,4
Saniru,1,clean,1,0,0,1
Mosiah 4:24,3,scripture_ref,33,0,13,4
Kumenoni,1,clean,20,0,13,1
Janoah Janohah,1,clean,108,0,89,1
John Macartney Wilson,1,clean,10,0,0,1
Azmaveth AZMAVETH,2,duplicated_word,108,0,56,33
Eliza Roxy Snow Smith,1,clean,66,0,24,1
Matthew 24:6–8,1,clean,52,0,10,4
me,4,single_lowercase,139,0,67,13
Musician mu-zish'-an,1,clean,6,0,0,1
Mary’s Psalms,1,clean,13,0,5,1
Laurel Brinton,1,clean,19,0,6,1
LeRoy C.,1,clean,112,0,46,1
Judah J,1,clean,1,0,0,1
Jeremiah 4:4,1,clean,104,0,19,45
Pisidia,1,clean,172,0,72,23
Lyman Trumbull,1,clean,144,0,44,3
Megilloth MEGILLOTH,2,duplicated_word,87,0,39,20
Jeremiah 36:25,1,clean,429,0,160,133
Seth M. Blair,1,clean,130,0,47,3
C. M. Kreymeyer,1,clean,88,0,55,2
Nosyangjin Ward,1,clean,32,0,9,1
Aceptaría,4,spanish_verb,31,0,17,1
FloridaAntoinette Russell,1,clean,87,0,21,1
Editorial Procedures,1,clean,40,0,13,3
Zur Geschichte,1,clean,193,0,73,1
Mitt Romney-esque,1,clean,27,0,6,0
Sealed Together,1,clean,39,0,21,1
“Servicio,5,starts_nonword,45,0,13,12
ÏÎ¿Î½ÏÎ±Î¹ Î³á½°Ï ÏÎµÏ,5,mojibake,26,0,15,1
Church Magazines Megan Gladwell,1,clean,44,0,11,4
¿Der,1,clean,25,0,11,7
mummy,4,single_lowercase,276,0,96,12
Englands Parnassus,1,clean,78,0,38,2
63]Jeffrey R. Holland,1,clean,37,0,12,7
Sister William,1,clean,28,0,17,1
Cherisher,1,clean,24,0,7,1
Thermometer 11 degrees below zero,1,clean,32,0,15,1
Christal Methvin’s,2,possessive,26,0,12,1
William Cluff,1,clean,370,0,156,11
Covenanters,1,clean,47,0,16,8
Realicen la Noche de Hogar,1,clean,41,0,22,1
Vaticanus Sarasadai,1,clean,1,0,0,1
jed'-oo,4,single_lowercase,2,0,0,1
John 20:18 Event Peter,3,scripture_ref,200,0,69,86
Itzcoatl Lozano,1,clean,231,0,201,4
Guillermo D. Jalil,1,clean,32,0,15,8
Betham,1,clean,27,0,13,1
Freeman Dickie,1,clean,293,0,234,4
Aiolah V.,1,clean,20,0,10,1
Hebrew Lillith,1,clean,1,0,0,1
Manual de Instituto,1,clean,15,0,9,3
Intentarás,4,spanish_verb,26,0,17,1
Blair Van Dyke,1,clean,18,0,6,1
Hieden,1,clean,5,0,2,1
Elsa Johnson’s,2,possessive,136,0,38,34
Gray,1,clean,964,0,423,37
P. T.,1,clean,45,0,18,1
Janice McDowell Gingerich,1,clean,24,0,7,1
"D. Harper, Dictionary",1,clean,80,0,38,19
samaritano,4,single_lowercase,36,0,15,1
Green Ball,1,clean,87,0,21,2
Jesus Christ Prays,1,clean,64,0,11,19
Elder de Jager,1,clean,78,0,32,3
Wilson the Mormons,1,clean,47,0,17,1
"class=""dominant"">José",5,html_fragment,20,0,12,2
hotan de elthÄ,1,clean,8,0,4,1
Eshu,1,clean,54,0,32,1
Roper’s,2,possessive,87,0,30,2
Buerger,1,clean,86,0,28,3
Elizabeth Ann Smith Whitney,1,clean,465,0,203,46
Anna Widtsoe,1,clean,557,0,185,21
Church Librarian-Archivist Marvin J. Ashton,1,clean,84,0,67,1
Eski Kalessi,1,clean,104,0,49,12
Naseph,1,clean,1,0,0,1
Myra Hawke Dyck,1,clean,187,0,110,3
Joseph Kinght,1,clean,38,0,14,2
Brent Ashworth,1,clean,38,0,14,2
Decían,4,spanish_verb,100,0,32,14
Rebecca Bean,1,clean,117,0,53,3
Ejercía,4,spanish_verb,7,0,2,1
Psalm 86:15,3,scripture_ref,194,0,68,41
Formó,1,clean,107,0,32,11
Samuel 11:2–17,3,scripture_ref,20,0,11,2
Martha Ann H,1,clean,42,0,28,1
Lee M. Shumway,1,clean,141,0,124,2
9]R. H. Charles,1,clean,65,0,31,1
Seth S. Larsen,1,clean,84,0,23,2
Mother Elah,1,clean,74,0,23,8
Hailey Adams,1,clean,4,0,0,2
Henry B. - God,1,clean,80,0,52,2
oportunidad”,4,single_lowercase,33,0,12,7
James Macknight,1,clean,204,0,88,3
ven[za,4,single_lowercase,39,0,13,8
F. Bruce,1,clean,297,0,117,33
Robert E. Parsons,1,clean,98,0,56,1
Ardashir Papakan,1,clean,1,0,0,1
David P. Charles,1,clean,113,0,47,2
Bishop Millen Atwood,1,clean,37,0,17,1
Pedro 1:2–8,3,scripture_ref,32,0,15,7
Rohner,1,clean,24,0,10,1
Vicki Bean Topliff,1,clean,34,0,15,1
Lillian V. Jones Reunión,1,clean,46,0,27,1
Pisiris,1,clean,66,0,20,2
John 10:1–16,3,scripture_ref,112,0,30,22
Elder Bosworth,1,clean,30,0,19,1
Intimate Disciple,1,clean,57,0,23,1
Straightway,1,clean,18,0,0,1
George Walton,1,clean,95,0,78,1
R. Marie Griffith,1,clean,273,0,96,7
hiqdis ̌,1,clean,34,0,16,3
enseñarnos,4,single_lowercase,32,0,12,2
Saint John Chrysostom,1,clean,22,0,8,1
John 8:59 & 10:31,3,scripture_ref,21,0,5,5
verb cunnan,1,clean,62,0,14,30
