name,cat,reason,degree,fam,cooc,mentions
Fuerte Ord,1,clean,50,0,30,1
Sacan,1,clean,43,0,21,1
México Ciudad de México Sur,1,clean,47,0,37,1
Saint Women - Julie B. Beck,1,clean,92,0,52,1
Mould,1,clean,40,0,22,1
Mustela,1,clean,41,0,25,1
Decatur County,1,clean,386,0,136,4
N.p.,1,clean,175,0,115,1
Además Joiada,4,spanish_verb,14,0,8,1
Jeremiah 44:15‒18,1,clean,29,0,11,1
"the-opportunities-and-responsibilities-of-ces-teachers-in-the-21st-century"">Las oportunidades",5,overlong,23,0,13,1
the Kinshasa Democratic Republic of,1,clean,94,0,54,4
• Cochabamba,5,starts_nonword,46,0,35,1
Procedió,4,spanish_verb,32,0,19,1
Consejero,1,clean,164,0,112,7
Telegrams,1,clean,60,0,38,1
Estado de,4,spanish_verb,274,0,130,2
Contacté,4,spanish_verb,22,0,10,1
"Isa 9:5,19",3,scripture_ref,43,0,26,1
Kinshasa,1,clean,1793,0,860,84
Mormon Grove,1,clean,98,0,43,2
Museo de Historia del Mormonismo en México,1,clean,20,0,15,1
Youngest,1,clean,57,0,37,0
Christmastime,1,clean,23,0,11,1
Babel Tower of,1,clean,37,0,18,1
Bensley,1,clean,58,0,41,1
Mirable Township,1,clean,166,0,95,1
Determina,1,clean,695,0,406,46
general-conference/2019/10/51eyring?lang,4,single_lowercase,63,0,34,3
Las Voces,1,clean,26,0,14,1
Rarotonga,1,clean,419,0,227,12
Misión México Puebla,1,clean,43,0,23,2
B.Sc.,1,clean,135,0,73,1
Leviticus 14:25,1,clean,62,0,42,1
A City of Refuge,1,clean,139,0,70,2
Chung Cheng Road,1,clean,21,0,13,1
Élder George R. Hill III,1,clean,35,0,26,1
"Sirach 47:15,17",1,clean,1,0,0,1
the Kruger National Park,1,clean,45,0,29,1
Visakhapatnam,1,clean,46,0,31,2
Rhemmoth,1,clean,72,0,36,1
cardonfamilies.org/Histories/MarieMadelineCardonGuild.html,4,single_lowercase,20,0,9,0
Distrito Monrovia Liberia Bushrod Island,1,clean,35,0,24,1
Recalque,1,clean,154,0,84,6
Ex 23:2,1,clean,67,0,37,1
HVS3,1,clean,17,0,6,1
Elder Kimball,1,clean,38,0,20,1
the Isthmus of Darien,1,clean,131,0,90,2
Bélgica,1,clean,1110,0,647,43
Comprometerme,1,clean,33,0,14,1
T. Charriere,1,clean,68,0,35,1
P]articipar,1,clean,27,0,15,1
"Great Salt Lake City,",2,trailing_punct,29,0,19,1
Benin,1,clean,675,0,352,26
Relatos de Doctrina,1,clean,141,0,90,5
Waipawa,1,clean,88,0,37,1
Traveller,1,clean,244,0,114,4
intención de Dios,1,clean,413,0,258,9
Wadi al-Aznam,1,clean,47,0,26,1
Houghton-Mifflin,1,clean,400,0,191,6
Feria del Condado de Clark,4,spanish_verb,19,0,9,1
Servirlo,1,clean,67,0,38,2
Mysticism,1,clean,113,0,59,3
Bereikut,1,clean,325,0,182,3
Misión Bangalore,1,clean,42,0,20,1
Colombia Deberíamos,4,spanish_verb,20,0,13,1
a Great Apostasy,1,clean,28,0,15,1
Uniting,1,clean,50,0,33,2
Benjamín De Hoyos,1,clean,337,0,136,7
Encyclopaedia,1,clean,87,0,41,1
ZA,1,clean,44,0,25,1
Paraná,1,clean,351,0,150,18
Sermón de José Smith,4,spanish_verb,74,0,34,1
Iloilo City,1,clean,168,0,96,3
Tihama,1,clean,125,0,46,2
the Mosaic Authorship,1,clean,100,0,34,1
Imperio otomano,1,clean,130,0,75,2
The Great Pyramid,1,clean,40,0,23,1
the Salt Lake City Fifteenth Ward Relief Society.⁴,2,footnote_suffix,57,0,23,1
"id=""aside1_p2"">Dallin H. Oaks",5,html_fragment,87,0,50,1
Morirá,1,clean,32,0,10,2
Abak,1,clean,40,0,24,1
the City of Zion,1,clean,1059,0,552,30
Señor? ¿Oran,1,clean,46,0,27,1
Primaria “Soy,1,clean,84,0,46,4
Recientemente,1,clean,208,0,105,8
Creedme,1,clean,21,0,8,1
Planeé,4,spanish_verb,25,0,11,1
the Berlin Olympics,1,clean,30,0,13,1
Nefi 12:48 ¿Cómo,3,scripture_ref,43,0,32,1
Pregúntense,1,clean,438,0,254,19
West Tennessee,1,clean,31,0,9,1
