name,cat,reason,degree,fam,cooc,mentions
Familial Influence on Religious Involvement,1,clean,3,0,0,1
Vencer al mundo y hallar descanso,1,clean,15,0,0,1
3. Vamos a hacer algo extraordinario: Emma Hale Smith,4,spanish_verb,8,0,0,1
Cómo concluir la lección,1,clean,2,0,0,1
General Elective Course Questions,1,clean,2,0,0,1
¿Cómo supieron?,4,spanish_verb,2,0,0,1
9 – 15 febrero. “Noé halló gracia ante los ojos de Jehová”: Génesis 6–11; Moisés 8,5,overlong,31,0,0,1
Cookie Sunday,1,clean,2,0,0,1
7 Consiervos,1,clean,18,0,0,1
Doctrinal Mastery: Mosiah 3:19—“[Put] Off the Natural Man and [Become] a Saint through the Atonement of Jesus Christ.”,5,overlong,5,0,0,2
¿No hay suficiente tiempo?,1,clean,2,0,0,1
Las pruebas del apóstol Pablo,1,clean,1,0,0,1
Daniel 3: “Nuestro Dios […] puede librarnos […]. Y si no”,5,sentence_fragment,19,0,0,1
1. Persecution.--From the very commencement the work of the Lord,1,clean,3,0,0,1
Youth in the Old Testament,1,clean,2,0,0,1
Mosíah 25–28: Reseña,1,clean,6,0,0,1
¿Cómo puedo hallar gozo cuando la depresión me ha dejado adormecido?,4,spanish_verb,2,0,0,1
Pornography Use,1,clean,5,0,0,1
¡Hola desde Colombia!,1,clean,1,0,0,1
Autumn Day,1,clean,1,0,0,1
I Knew God Would Provide,1,clean,2,0,0,1
"“I Will Not Fail Thee, nor Forsake Thee”",5,starts_nonword,10,0,0,1
Café,4,spanish_verb,2,0,0,1
Chart 91: Benjamin's Themes Related to Sabbatical and Jubilee Years,1,clean,2,0,0,1
A Perpetual Education Fund Loan Changed Our Lives,1,clean,2,0,0,1
Walking in Faith: Youth Bear Witness of the Lord’s Goodness,1,clean,2,0,0,1
President Kimball Speaks against Profanity,1,clean,2,0,0,1
You Really Can Make a Big Difference,1,clean,2,0,0,1
Fe en Jesucristo,1,clean,74,0,0,7
LONG TIME WITHOUT NEWS FROM HOME--LETTER FROM ELDER B. F,1,clean,3,0,0,1
The Only True God and Jesus Christ Whom He Hath Sent,1,clean,24,0,0,1
The Changing Forms of the Latter-day Saint Sacrament,1,clean,2,0,0,1
Se destaca a LDS Charities (Organización benéfica SUD) en un evento de las Naciones Unidas,5,overlong,1,0,0,1
"Independence, Missouri",1,clean,3,0,0,1
Heavenly Father Sent a Memo,1,clean,2,0,0,1
