dirty_id,dirty_name,clean_id,clean_name,type,pattern
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38273,Dear Brethren:,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:243903,Dear Brethren,concept,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38552,10:14.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:30807,10:14,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38734,Elder Orson Hyde's,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:110778,Elder Orson Hyde,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38894,Adam’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5507,Adam,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38941,49:26.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48565,49:26,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:38958,Joseph’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26466,Joseph,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39040,6:11.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31221,6:11,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39112,Joseph Knight Sr.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39911,Joseph Knight Sr,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39203,Joseph Smith Sr.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:102617,Joseph Smith Sr,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39212,24:44.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:658665,24:44,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39355,20:40.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51187,20:40,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39512,Authority of.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43127,Authority of,people,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39564,1:20.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31702,1:20,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39588,22:21;,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45174,22:21,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39742,Peter Whitmer Sr.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39901,Peter Whitmer Sr,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39758,Peter Whitmer Jr.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:233807,Peter Whitmer Jr,person,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39801,13:11.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:35041,13:11,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39960,17:40.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:37534,17:40,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:39999,"19:13,",4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33482,19:13,period,trailing_punct
