from_name,from_type,relation,to_name,to_type
Lehi,person,SPOUSE_OF,Mormon,person
Felix,person,SPOUSE_OF,Drusilla,person
Cleophas,person,SPOUSE_OF,Mary,person
Lehi,person,SPOUSE_OF,Mormón,person
Félix,person,SPOUSE_OF,Drusila,person
Uriah,person,SPOUSE_OF,Eliam,person
Mahlon,person,SPOUSE_OF,Moabitess,place
Mary,person,SPOUSE_OF,Joseph,person
Felipe,person,SPOUSE_OF,Herodías,person
Chuza,person,SPOUSE_OF,Juana,person
David,person,SPOUSE_OF,Mical,person
Hezrón,person,SPOUSE_OF,Abías,person
Maquir,person,SPOUSE_OF,Maaca,person
Urías,person,SPOUSE_OF,Eliam,person
Jeroboam,person,SPOUSE_OF,Entra,person
Salum,person,SPOUSE_OF,Hulda,person
Abraham,person,SPOUSE_OF,Sara,person
Abram,person,SPOUSE_OF,Sarai,person
Judá,person,SPOUSE_OF,Súa,person
Jacob,person,SPOUSE_OF,Raquel,person
Nacor,person,SPOUSE_OF,Milca,person
Esaú,person,SPOUSE_OF,Ada,person
Esaú,person,SPOUSE_OF,Basemat,person
Esaú,person,SPOUSE_OF,Aholibama,person
Moisés,person,SPOUSE_OF,Séfora,person
Heber,person,SPOUSE_OF,Jael,person
María,person,SPOUSE_OF,José,person
Elder,person,SPOUSE_OF,Lawrence,person
Elder Joseph Anderson,person,SPOUSE_OF,Anderson,person
Elder,person,SPOUSE_OF,Stone,person
Rex,person,SPOUSE_OF,Phyllis Nielsen Reeve,person
Spencer,person,SPOUSE_OF,Avanelle Richards Osborn,person
James,person,SPOUSE_OF,Cullimore,person
Hyrum Smith,person,SPOUSE_OF,Mary Fielding Smith,person
Elder,person,SPOUSE_OF,Bonnie Lee Adamson Caldwell,person
Elder Dennis,person,SPOUSE_OF,Neuenschwander,person
Elder Robert,person,SPOUSE_OF,Sister Norma Creer Harbertson,people
Elder Lino Alvarez,person,SPOUSE_OF,Alvarez,person
PETER WHITMER,person,SPOUSE_OF,María,person
Franklin Delano Roosevelt,person,SPOUSE_OF,Eleanor Roosevelt,person
George Romney,person,SPOUSE_OF,Lenore Romney,person
John Hatch,person,SPOUSE_OF,Sandra Hatch,person
Terri,person,SPOUSE_OF,Joan Christensen,person
CHARLES,person,SPOUSE_OF,Pioneer Sarah Rich,person
Fritz,person,SPOUSE_OF,Joyce,person
José,person,SPOUSE_OF,Emma,person
Thomas,person,SPOUSE_OF,Misuri,place
CHARLES,person,SPOUSE_OF,Sarah Rich,person
Zacarías,person,SPOUSE_OF,Elisabet,person
Joseph Smith,person,SPOUSE_OF,Emma Hale Smith,person
Joseph Knight Sr,person,SPOUSE_OF,Polly Knight,person
Peter Whitmer Sr,person,SPOUSE_OF,Mary Whitmer,person
President Russell,person,SPOUSE_OF,Nelson,person
Hiram Kimball,person,SPOUSE_OF,Sarah Granger Kimball,person
Brigham,person,SPOUSE_OF,Harriet Young,person
King Tamatoa,person,SPOUSE_OF,Queen Pitomai,person
Martin Harris,person,SPOUSE_OF,Lucy Harris,person
President Wilford Woodruff,person,SPOUSE_OF,Phebe Woodruff,person
JOSÉ Smith,person,SPOUSE_OF,Emma Hale Smith,person
Martin,person,SPOUSE_OF,Lucy,person
Martin Harris,person,SPOUSE_OF,Mormón,person
PETER WHITMER,person,SPOUSE_OF,Mary Whitmer,person
Abraham,person,SPOUSE_OF,Sarai,person
Cleofas,person,SPOUSE_OF,María,person
Heber,person,SPOUSE_OF,Vilate Kimball,person
John,person,SPOUSE_OF,Leonora,person
PARLEY,person,SPOUSE_OF,Mary Ann Pratt,person
Lorenzo,person,SPOUSE_OF,Harriet Young,person
Brigham,person,SPOUSE_OF,Clara,person
Brigham,person,SPOUSE_OF,MARY ANN,person
Susa,person,SPOUSE_OF,Jacob,person
Ida,person,SPOUSE_OF,Salt Lake City,place
Heber,person,SPOUSE_OF,Emily,person
Clara,person,SPOUSE_OF,William Daniels,person
John,person,SPOUSE_OF,Barbara,person
Betsabé,person,SPOUSE_OF,Urías,person
Hyrum,person,SPOUSE_OF,Mary Fielding Smith,person
Noemí,person,SPOUSE_OF,Luego,person
Ham,person,SPOUSE_OF,Egyptus,person
Cam,person,SPOUSE_OF,Egyptus,person
George,person,SPOUSE_OF,Lucinda Harris,person
Lucy Meserve Smith,person,SPOUSE_OF,Smith,person
James Smithies,person,SPOUSE_OF,Nancy Ann Knowles Smithies,person
JS,person,SPOUSE_OF,Mary Fielding Smith,person
Sheets,person,SPOUSE_OF,Kathy,person
Amy,person,SPOUSE_OF,Socorro,person
Brigham Young,person,SPOUSE_OF,MARY ANN ANGELL,person
José,person,SPOUSE_OF,Emma Smith,person
