src_id,src_name,rel_type,dst_id,dst_name,src_type
19072,Lehi,SPOUSE_OF,3332,Mormon,person
18866,Noah,FATHER_OF,18896,Ham,person
18896,Ham,FATHER_OF,18171,Egyptus,person
19072,Lehi,FATHER_OF,18918,Nephi,person
33818,Felix,SPOUSE_OF,33852,Drusilla,person
44153,Caesar Augustus,FATHER_OF,33030,Julia,person
19075,Alphaeus,FATHER_OF,19213,Levi,person
25342,Kohath,FATHER_OF,51012,Levite,person
18896,Ham,FATHER_OF,3581,Canaan,person
18866,Noah,FATHER_OF,19579,Shem,person
19105,Josiah,FATHER_OF,35062,Jehoiakim,person
19871,Zacharias,FATHER_OF,19092,John,person
18900,Helaman,FATHER_OF,18918,Nephi,person
18866,Noah,FATHER_OF,29318,Limhi,person
409023,Jeberechiah,FATHER_OF,19872,Zechariah,person
24105,Uzziah,FATHER_OF,24119,Jotham,person
24119,Jotham,FATHER_OF,24118,Ahaz,person
24122,Remaliah,FATHER_OF,24121,Pekah,person
24043,Amoz,FATHER_OF,18916,Isaiah,person
20145,Righteousness,FATHER_OF,304044,But,concept
29680,Abinadom,FATHER_OF,29681,Amaleki,person
8500,Coriantor,FATHER_OF,18686,Ether,person
28095,Heth,FATHER_OF,3247,Aaron,person
28119,Kib,FATHER_OF,28364,Corihor,person
28119,Kib,FATHER_OF,28117,Shule,person
18866,Noah,FATHER_OF,277951,Wherefore,person
18866,Noah,FATHER_OF,8567,Cohor,person
8513,Omer,FATHER_OF,19078,Jared,person
8641,Kimnor,FATHER_OF,8640,Akish,person
19078,Jared,FATHER_OF,8640,Akish,person
3251,Mosiah,FATHER_OF,3399,Ammon,person
19076,Zebedee,FATHER_OF,19073,James,person
3278,Abraham,FATHER_OF,18915,Isaac,person
18915,Isaac,FATHER_OF,3549,Jacob,person
19087,Jesse,FATHER_OF,18663,David,person
413972,Bosor,FATHER_OF,3518,Balaam,person
19097,Joseph,FATHER_OF,18645,Jesus,person
19581,Simon,FATHER_OF,19111,Judas Iscariot,person
25524,Jonas,FATHER_OF,19581,Simon,person
45834,Jona,FATHER_OF,19581,Simon,person
19097,Joseph,FATHER_OF,19411,Nazareth,person
18663,David,FATHER_OF,18644,Jesus Christ,person
3549,Jacob,FATHER_OF,19108,Judas,person
19422,Obed,FATHER_OF,19087,Jesse,person
36841,Abia,FATHER_OF,3504,Asa,person
3504,Asa,FATHER_OF,457477,JOSAPHAT,person
457477,JOSAPHAT,FATHER_OF,35434,Joram,people
35450,Achim,FATHER_OF,35451,Eliud,person
35451,Eliud,FATHER_OF,35452,Eleazar,person
35452,Eleazar,FATHER_OF,35453,Matthan,person
35453,Matthan,FATHER_OF,3549,Jacob,person
3549,Jacob,FATHER_OF,19097,Joseph,person
39689,Koz,FATHER_OF,24143,Urijah,person
42063,Meshezabeel,FATHER_OF,36423,Berechiah,person
37249,Imri,FATHER_OF,36692,Zaccur,person
24143,Urijah,FATHER_OF,37028,Meremoth,person
36423,Berechiah,FATHER_OF,36849,Meshullam,person
37475,Baana,FATHER_OF,35449,Zadok,person
42142,Besodeiah,FATHER_OF,36849,Meshullam,person
42149,Harhaiah,FATHER_OF,36418,Uzziel,person
36521,Hur,FATHER_OF,36856,Rephaiah,person
42150,Harumaph,FATHER_OF,36663,Jedaiah,person
42214,Hashabniah,FATHER_OF,36859,Hattush,person
42079,Col-hozeh,FATHER_OF,42156,Shallun,person
42157,Azbuk,FATHER_OF,19413,Nehemiah,person
37055,Bani,FATHER_OF,36665,Rehum,person
39709,Henadad,FATHER_OF,42159,Bavai,person
36672,Jeshua,FATHER_OF,36169,Ezer,person
39580,Zabbai,FATHER_OF,41068,Baruch,person
36430,Maaseiah,FATHER_OF,36557,Azariah,person
39709,Henadad,FATHER_OF,39585,Binnui,person
42162,Uzai,FATHER_OF,42161,Palal,person
39574,Parosh,FATHER_OF,36788,Pedaiah,person
36679,Immer,FATHER_OF,35449,Zadok,person
36858,Shechaniah,FATHER_OF,36417,Shemaiah,person
19872,Zechariah,FATHER_OF,24105,Uzziah,person
36344,Shephatiah,FATHER_OF,36645,Amariah,person
42079,Col-hozeh,FATHER_OF,41068,Baruch,person
37051,Adaiah,FATHER_OF,42080,Hazaiah,person
19872,Zechariah,FATHER_OF,36662,Joiarib,person
24105,Uzziah,FATHER_OF,42078,Athaiah,person
41068,Baruch,FATHER_OF,36430,Maaseiah,person
42082,Joed,FATHER_OF,36849,Meshullam,person
41048,Kolaiah,FATHER_OF,36788,Pedaiah,person
42083,Ithiel,FATHER_OF,36430,Maaseiah,person
36849,Meshullam,FATHER_OF,36738,Hilkiah,person
42087,Pelaliah,FATHER_OF,36352,Jeroham,person
19872,Zechariah,FATHER_OF,37054,Amzi,person
36849,Meshullam,FATHER_OF,37251,Sallu,person
36744,Zichri,FATHER_OF,19091,Joel,person
42086,Senuah,FATHER_OF,19106,Judah,person
36662,Joiarib,FATHER_OF,36663,Jedaiah,person
36738,Hilkiah,FATHER_OF,36904,Seraiah,person
36352,Jeroham,FATHER_OF,37051,Adaiah,person
406290,Ahasai,FATHER_OF,36348,Azareel,person
42057,Bunni,FATHER_OF,36705,Hashabiah,person
36499,Zabdi,FATHER_OF,19316,Micha,person
37265,Galal,FATHER_OF,36395,Shammua,person
36395,Shammua,FATHER_OF,37463,Abda,person
36705,Hashabiah,FATHER_OF,37055,Bani,person
37055,Bani,FATHER_OF,37026,Uzzi,person
42063,Meshezabeel,FATHER_OF,36682,Pethahiah,person
19106,Judah,FATHER_OF,35430,Zerah,person
42043,Hachaliah,FATHER_OF,474440,TIRSHATHA,person
42054,Azaniah,FATHER_OF,36672,Jeshua,person
35051,Shealtiel,FATHER_OF,19879,Zerubbabel,person
36672,Jeshua,FATHER_OF,42108,Joiakim,person
36674,Eliashib,FATHER_OF,42109,Joiada,person
42109,Joiada,FATHER_OF,19095,Jonathan,person
19095,Jonathan,FATHER_OF,42064,Jaddua,person
36674,Eliashib,FATHER_OF,36338,Johanan,person
39642,Kadmiel,FATHER_OF,36672,Jeshua,person
36417,Shemaiah,FATHER_OF,19095,Jonathan,person
19095,Jonathan,FATHER_OF,19872,Zechariah,person
36687,Delaiah,FATHER_OF,36417,Shemaiah,person
37179,Arah,FATHER_OF,36858,Shechaniah,person
20658,Nun,FATHER_OF,36672,Jeshua,person
36692,Zaccur,FATHER_OF,36304,Hanan,person
42043,Hachaliah,FATHER_OF,19413,Nehemiah,person
24296,Laish,FATHER_OF,391965,Phalti,person
18670,Eli,FATHER_OF,37023,Phinehas,person
36756,Ner,FATHER_OF,36755,Abner,person
37029,Ahimaaz,FATHER_OF,36829,Ahinoam,person
36234,Zeruiah,FATHER_OF,36245,Abishai,person
37691,Maoch,FATHER_OF,36479,Achish,person
36264,Abiel,FATHER_OF,28096,Kish,person
37754,Bechorath,FATHER_OF,37753,Zeror,person
36352,Jeroham,FATHER_OF,36345,Elkanah,person
37559,Tohu,FATHER_OF,32741,Elihu,person
36660,Ahimelech,FATHER_OF,35320,Abiathar,person
41278,Barachel,FATHER_OF,32741,Elihu,person
36246,Benaiah,FATHER_OF,36854,Pelatiah,person
36524,Jair,FATHER_OF,36251,Elhanan,person
36234,Zeruiah,FATHER_OF,36233,Joab,person
36475,Ahilud,FATHER_OF,19082,Jehoshaphat,person
36247,Jehoiada,FATHER_OF,36246,Benaiah,person
36833,Haggith,FATHER_OF,36832,Adonijah,person
36239,Dodo,FATHER_OF,35452,Eleazar,person
36239,Dodo,FATHER_OF,36251,Elhanan,person
36254,Ikkesh,FATHER_OF,36253,Ira,person
36262,Ribai,FATHER_OF,412212,Ithai,person
36161,Shage,FATHER_OF,19095,Jonathan,person
36277,Ezbai,FATHER_OF,36276,Naarai,person
36279,Haggeri,FATHER_OF,36278,Mibhar,person
36301,Ahlai,FATHER_OF,36300,Zabad,person
36303,Shiza,FATHER_OF,36302,Adina,person
36313,Shimri,FATHER_OF,36312,Jediael,person
36486,Nahash,FATHER_OF,36487,Hanun,person
35452,Eleazar,FATHER_OF,37023,Phinehas,person
37023,Phinehas,FATHER_OF,37024,Abishua,person
37024,Abishua,FATHER_OF,37025,Bukki,person
37025,Bukki,FATHER_OF,37026,Uzzi,person
37026,Uzzi,FATHER_OF,36477,Zerahiah,person
35449,Zadok,FATHER_OF,37029,Ahimaaz,person
37029,Ahimaaz,FATHER_OF,36557,Azariah,person
36557,Azariah,FATHER_OF,36338,Johanan,person
36338,Johanan,FATHER_OF,36557,Azariah,person
36557,Azariah,FATHER_OF,36645,Amariah,person
36738,Hilkiah,FATHER_OF,36557,Azariah,person
36557,Azariah,FATHER_OF,36904,Seraiah,person
37044,Shemuel,FATHER_OF,19091,Joel,person
36345,Elkanah,FATHER_OF,37038,Zuph,person
36366,Amasai,FATHER_OF,37045,Mahath,person
19091,Joel,FATHER_OF,36345,Elkanah,person
19878,Zephaniah,FATHER_OF,36557,Azariah,person
36844,Assir,FATHER_OF,37037,Tahath,person
36188,Korah,FATHER_OF,36422,Ebiasaph,person
