src_id,dst_id,rel_type,reason
3616,27730,BROTHER_OF,symmetry of BROTHER_OF
19079,19078,BROTHER_OF,symmetry of BROTHER_OF
19102,19583,BROTHER_OF,symmetry of BROTHER_OF
29824,30156,BROTHER_OF,symmetry of BROTHER_OF
390565,3404,BROTHER_OF,symmetry of BROTHER_OF
42064,19265,BROTHER_OF,symmetry of BROTHER_OF
19200,3278,BROTHER_OF,symmetry of BROTHER_OF
19073,19108,BROTHER_OF,symmetry of BROTHER_OF
18886,36609,BROTHER_OF,symmetry of BROTHER_OF
36233,36245,BROTHER_OF,symmetry of BROTHER_OF
36233,36250,BROTHER_OF,symmetry of BROTHER_OF
19330,19091,BROTHER_OF,symmetry of BROTHER_OF
36535,36536,BROTHER_OF,symmetry of BROTHER_OF
36505,3580,BROTHER_OF,symmetry of BROTHER_OF
36141,36797,BROTHER_OF,symmetry of BROTHER_OF
3580,36158,BROTHER_OF,symmetry of BROTHER_OF
18663,36610,BROTHER_OF,symmetry of BROTHER_OF
19077,29822,BROTHER_OF,symmetry of BROTHER_OF
38623,36083,BROTHER_OF,symmetry of BROTHER_OF
19484,669376,BROTHER_OF,symmetry of BROTHER_OF
13546,440773,BROTHER_OF,symmetry of BROTHER_OF
36233,13666,BROTHER_OF,symmetry of BROTHER_OF
18663,12763,BROTHER_OF,symmetry of BROTHER_OF
36233,12537,BROTHER_OF,symmetry of BROTHER_OF
12714,36536,BROTHER_OF,symmetry of BROTHER_OF
12708,3580,BROTHER_OF,symmetry of BROTHER_OF
15495,12902,BROTHER_OF,symmetry of BROTHER_OF
3580,12515,BROTHER_OF,symmetry of BROTHER_OF
19200,19199,BROTHER_OF,symmetry of BROTHER_OF
19073,19109,BROTHER_OF,symmetry of BROTHER_OF
19735,30497,BROTHER_OF,symmetry of BROTHER_OF
29678,29679,BROTHER_OF,symmetry of BROTHER_OF
3416,26061,BROTHER_OF,symmetry of BROTHER_OF
18645,19073,BROTHER_OF,symmetry of BROTHER_OF
19870,30781,BROTHER_OF,symmetry of BROTHER_OF
19870,207619,BROTHER_OF,symmetry of BROTHER_OF
792244,83519,BROTHER_OF,symmetry of BROTHER_OF
19870,289383,BROTHER_OF,symmetry of BROTHER_OF
19735,18897,BROTHER_OF,symmetry of BROTHER_OF
3448,220677,BROTHER_OF,symmetry of BROTHER_OF
221135,66298,BROTHER_OF,symmetry of BROTHER_OF
380753,146012,BROTHER_OF,symmetry of BROTHER_OF
19870,291220,BROTHER_OF,symmetry of BROTHER_OF
19735,67829,BROTHER_OF,symmetry of BROTHER_OF
104442,19073,BROTHER_OF,symmetry of BROTHER_OF
221027,384952,BROTHER_OF,symmetry of BROTHER_OF
386106,375255,BROTHER_OF,symmetry of BROTHER_OF
104121,59860,BROTHER_OF,symmetry of BROTHER_OF
19879,36788,BROTHER_OF,symmetry of BROTHER_OF
