entity_id,name,entity_type,reason
5,Luke 9:13,person,scripture_ref
6,Mark 8:5,person,scripture_ref
7,Luke 11:5,person,scripture_ref
14,Rev. 9:3,period,scripture_ref
19,Luke 9:38.,person,scripture_ref
20,Titus 2:13,concept,scripture_ref
21,Jude 1:21,concept,scripture_ref
23,D&C 88:111,people,scripture_ref
26,Luke 12:36,person,scripture_ref
31,John 13:13,person,scripture_ref
35,24:10. day,period,measurement
36,20:2. day,period,measurement
42,Luke 14:34,person,scripture_ref
43,Luke 15:8,person,scripture_ref
44,John 18:9,person,scripture_ref
46,Alma 16:8,person,scripture_ref
47,D&C 58:28,people,scripture_ref
61,Mosiah 23:15,people,scripture_ref
62,Luke 11:42,person,scripture_ref
63,feast,person,lowercase_token
68,Alma 32:8,person,scripture_ref
69,Alma 37:33,person,scripture_ref
70,D&C 32:1,people,scripture_ref
74,D&C 103:27–28,people,scripture_ref
82,Alma 11:24.,person,scripture_ref
94,John 8:55,person,scripture_ref
97,Alma 1:17,person,scripture_ref
105,Luke 6:11,person,scripture_ref
115,Luke 12:11.,person,scripture_ref
126,|March 1,period,leading_punct
136,John 18:30,person,scripture_ref
142,Titus 3:3,concept,scripture_ref
148,John 9:2,person,scripture_ref
152,D&C 20:20,people,scripture_ref
158,Alma 1:4,period,scripture_ref
159,overcometh,people,lowercase_token
161,trusteth,person,lowercase_token
163,John 7:46,person,scripture_ref
171,Song 7:13,person,scripture_ref
174,John 1:31,person,scripture_ref
175,John 14:21.,person,scripture_ref
176,hid,person,lowercase_token
191,commandments,person,lowercase_token
203,Mark 10:7,concept,scripture_ref
210,Luke 20:34,person,scripture_ref
212,John 2:1,period,scripture_ref
215,John 16:21,person,scripture_ref
216,Alma 56:47,person,scripture_ref
230,D&C 19:25,people,scripture_ref
231,Ruth 4:13,person,scripture_ref
232,Ezra 10:2,person,scripture_ref
233,Hosea 1:2.,person,scripture_ref
234,Luke 17:32,person,scripture_ref
243,Luke 11:50,person,scripture_ref
248,John 7:15,person,scripture_ref
252,herein,person,lowercase_token
253,John 9:30,person,scripture_ref
254,D&C 4:1,people,scripture_ref
261,John 11:28,person,scripture_ref
269,Alma 41:12,person,scripture_ref
277,workman,person,lowercase_token
283,Luke 21:14,person,scripture_ref
290,bear,person,lowercase_token
291,Mark 14:13,person,scripture_ref
292,John 11:20.,person,scripture_ref
293,Alma 5:28,person,scripture_ref
294,D&C 45:45,people,scripture_ref
295,John 11:20,person,scripture_ref
301,23:27. seventh day,period,measurement
303,11:26. first day,period,measurement
311,|Sarah Brown Woodruff,person,leading_punct
322,2:5. days,period,measurement
323,evils,person,lowercase_token
329,Jonah 4:2,person,scripture_ref
331,Alma 29:10,person,scripture_ref
332,Alma 42:25. son,person,scripture_ref
341,thorn,person,lowercase_token
357,midwife,person,lowercase_token
363,cry,person,lowercase_token
366,Luke 9:43,person,scripture_ref
367,Luke 24:19.,person,scripture_ref
368,weak,person,lowercase_token
376,barley,person,lowercase_token
390,D&C 102:23,people,scripture_ref
391,veil,person,lowercase_token
396,John 17:10,person,scripture_ref
397,Titus 1:4,concept,scripture_ref
413,John 10:12–13,person,scripture_ref
414,Mosiah 2:10–19,person,scripture_ref
427,Luke 23:8,person,scripture_ref
428,John 6:2,person,scripture_ref
429,John 12:37.,person,scripture_ref
447,Alma 42:11,person,scripture_ref
450,James 5:1,person,scripture_ref
451,shrink,person,lowercase_token
452,sinner,person,lowercase_token
461,stone,people,lowercase_token
470,Jonah 3:2,person,scripture_ref
471,Luke 9:2,person,scripture_ref
475,D&C 33:8,people,scripture_ref
485,wrath,person,lowercase_token
489,Mark 10:34,person,scripture_ref
491,Luke 14:29,person,scripture_ref
492,Luke 23:11,person,scripture_ref
498,Luke 8:6,person,scripture_ref
499,Jacob 5:18,person,scripture_ref
505,John 2:14,person,scripture_ref
509,Mark 12:41,person,scripture_ref
510,Luke 22:5.,person,scripture_ref
511,vineyard,person,lowercase_token
522,Song 6:10,concept,scripture_ref
537,mayest,people,lowercase_token
538,|Smithfield,people,leading_punct
552,hospitality,person,lowercase_token
557,Mosiah 12:21,person,scripture_ref
558,stone,person,lowercase_token
563,D&C 42:45,people,scripture_ref
564,14:39. days,period,measurement
565,51:11. days,period,measurement
567,Luke 7:32,person,scripture_ref
568,98:9. day,period,measurement
587,multitude,person,lowercase_token
592,Luke 23:19,person,scripture_ref
593,murderers,person,lowercase_token
594,stirreth,person,lowercase_token
600,John 6:41,person,scripture_ref
601,John 6:43,person,scripture_ref
618,Mark 15:23,person,scripture_ref
620,interpreters,person,lowercase_token
633,suffer,person,lowercase_token
639,Nahum 3:5,people,scripture_ref
643,nations,people,lowercase_token
644,John 14:26.,person,scripture_ref
645,John 17:26.,person,scripture_ref
648,D&C 18:27,people,scripture_ref
651,treasury,people,lowercase_token
654,John 12:28.,person,scripture_ref
663,John 11:51,person,scripture_ref
664,Mosiah 3:13,period,scripture_ref
665,D&C 42:58,people,scripture_ref
671,"|May 28, 1907",period,leading_punct
681,stiffen,person,lowercase_token
693,|Sarah Emma Woodruff,person,leading_punct
696,Luke 14:12.,person,scripture_ref
710,145:18. day,period,measurement
711,transformeth,person,lowercase_token
712,Alma 13:21,person,scripture_ref
713,1:12. hour,period,measurement
716,Luke 12:20,person,scripture_ref
717,John 11:10.,person,scripture_ref
718,John 13:30,person,scripture_ref
719,16:9. day,period,measurement
731,Luke 19:12,person,scripture_ref
732,John 4:46,person,scripture_ref
736,Luke 1:65.,person,scripture_ref
748,James 5:5,person,scripture_ref
749,Alma 32:37,person,scripture_ref
759,Alma 44:8,person,scripture_ref
760,Alma 50:39,person,scripture_ref
761,Alma 53:14,person,scripture_ref
784,Mark 10:20,person,scripture_ref
794,John 16:1,person,scripture_ref
795,Alma 48:14.,person,scripture_ref
798,Luke 5:14,person,scripture_ref
801,bullock,person,lowercase_token
802,Luke 21:4,person,scripture_ref
809,Alma 13:18.,person,scripture_ref
810,preside,person,lowercase_token
821,Mark 14:3,concept,scripture_ref
825,John 21:18,person,scripture_ref
827,Titus 2:2,concept,scripture_ref
839,Luke 5:39,person,scripture_ref
840,John 3:4,person,scripture_ref
842,idol,person,lowercase_token
850,Luke 19:29,person,scripture_ref
851,Mark 13:3,concept,scripture_ref
858,Mark 10:8,person,scripture_ref
862,Mark 7:35,person,scripture_ref
863,Luke 13:25. heart burn,person,scripture_ref
864,Luke 24:45,person,scripture_ref
868,John 7:10,person,scripture_ref
874,James 1:3.,person,scripture_ref
875,punishment,person,lowercase_token
876,Alma 42:16.,person,scripture_ref
886,D&C 77:11,people,scripture_ref
892,Alma 41:2.,person,scripture_ref
896,D&C 132:8.,people,scripture_ref
900,resisteth,person,lowercase_token
901,Alma 13:8,person,scripture_ref
902,house,people,lowercase_token
914,Jacob 2:34,person,scripture_ref
925,D&C 64:2,people,scripture_ref
940,45x65 feet,object,measurement
945,Luke 14:19.,person,scripture_ref
949,groaneth,person,lowercase_token
950,wish,person,lowercase_token
951,Alma 31:30,person,scripture_ref
959,22x45 feet,object,measurement
964,Mark 2:3,person,scripture_ref
965,Luke 5:18,person,scripture_ref
974,Mark 4:13,person,scripture_ref
978,Luke 16:19–31,person,scripture_ref
988,John 13:8,person,scripture_ref
989,prophecies,people,lowercase_token
996,laboureth,person,lowercase_token
999,broken,person,lowercase_token
1000,Luke 10:31,person,scripture_ref
1001,Luke 16:17.,person,scripture_ref
1007,Alma 50:30,person,scripture_ref
1009,Luke 23:54,person,scripture_ref
