neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:5,Luke 9:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:6,Mark 8:5,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:7,Luke 11:5,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:14,Rev. 9:3,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:19,Luke 9:38.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:20,Titus 2:13,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:21,Jude 1:21,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:23,D&C 88:111,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26,Luke 12:36,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31,John 13:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42,Luke 14:34,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:43,Luke 15:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44,John 18:9,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:46,Alma 16:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:47,D&C 58:28,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:61,Mosiah 23:15,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:62,Luke 11:42,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:68,Alma 32:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:69,Alma 37:33,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:70,D&C 32:1,people,scripture_ref
